root_note_name,mode,midi_program_num,play_style_name,midi_program_name,path,sampling_rate,play_style,midi_category,name,mode_idx,fold,set_type
C,ionian,26,UP,Electric Jazz Guitar,C_ionian_UP_26_Electric_Jazz_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_26_Electric_Jazz_Guitar,0,7,train
C,ionian,27,UP,Electric Clean Guitar,C_ionian_UP_27_Electric_Clean_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_27_Electric_Clean_Guitar,0,15,valid
C,ionian,28,UP,Electric Muted Guitar,C_ionian_UP_28_Electric_Muted_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_28_Electric_Muted_Guitar,0,15,valid
C,ionian,29,UP,Overdriven Guitar,C_ionian_UP_29_Overdriven_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_29_Overdriven_Guitar,0,16,valid
C,ionian,30,UP,Distortion Guitar,C_ionian_UP_30_Distortion_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_30_Distortion_Guitar,0,18,test
C,ionian,32,UP,Acoustic Bass,C_ionian_UP_32_Acoustic_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_32_Acoustic_Bass,0,13,train
C,ionian,33,UP,Fingered Electric Bass,C_ionian_UP_33_Fingered_Electric_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_33_Fingered_Electric_Bass,0,19,test
C,ionian,34,UP,Plucked Electric Bass,C_ionian_UP_34_Plucked_Electric_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_34_Plucked_Electric_Bass,0,8,train
C,ionian,35,UP,Fretless Bass,C_ionian_UP_35_Fretless_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_35_Fretless_Bass,0,20,test
C,ionian,36,UP,Slap Bass 1,C_ionian_UP_36_Slap_Bass_1.wav,44100,0,Bass Timbres,C_ionian_UP_36_Slap_Bass_1,0,15,valid
C,ionian,37,UP,Slap Bass 2,C_ionian_UP_37_Slap_Bass_2.wav,44100,0,Bass Timbres,C_ionian_UP_37_Slap_Bass_2,0,20,test
C,ionian,38,UP,Synth Bass 1,C_ionian_UP_38_Synth_Bass_1.wav,44100,0,Bass Timbres,C_ionian_UP_38_Synth_Bass_1,0,6,train
C,ionian,39,UP,Synth Bass 2,C_ionian_UP_39_Synth_Bass_2.wav,44100,0,Bass Timbres,C_ionian_UP_39_Synth_Bass_2,0,17,valid
C,ionian,40,UP,Violin,C_ionian_UP_40_Violin.wav,44100,0,String Timbres,C_ionian_UP_40_Violin,0,9,train
C,ionian,41,UP,Viola,C_ionian_UP_41_Viola.wav,44100,0,String Timbres,C_ionian_UP_41_Viola,0,5,train
C,ionian,42,UP,Cello,C_ionian_UP_42_Cello.wav,44100,0,String Timbres,C_ionian_UP_42_Cello,0,19,test
C,ionian,43,UP,Contrabass,C_ionian_UP_43_Contrabass.wav,44100,0,String Timbres,C_ionian_UP_43_Contrabass,0,14,train
C,ionian,44,UP,Tremolo Strings,C_ionian_UP_44_Tremolo_Strings.wav,44100,0,String Timbres,C_ionian_UP_44_Tremolo_Strings,0,17,valid
C,ionian,45,UP,Pizzicato Strings,C_ionian_UP_45_Pizzicato_Strings.wav,44100,0,String Timbres,C_ionian_UP_45_Pizzicato_Strings,0,15,valid
C,ionian,46,UP,Orchestral Harp,C_ionian_UP_46_Orchestral_Harp.wav,44100,0,String Timbres,C_ionian_UP_46_Orchestral_Harp,0,10,train
C,ionian,48,UP,String Ensemble 1,C_ionian_UP_48_String_Ensemble_1.wav,44100,0,Ensemble Timbres,C_ionian_UP_48_String_Ensemble_1,0,7,train
C,ionian,49,UP,String Ensemble 2,C_ionian_UP_49_String_Ensemble_2.wav,44100,0,Ensemble Timbres,C_ionian_UP_49_String_Ensemble_2,0,15,valid
C,ionian,50,UP,Synth Strings 1,C_ionian_UP_50_Synth_Strings_1.wav,44100,0,Ensemble Timbres,C_ionian_UP_50_Synth_Strings_1,0,6,train
C,ionian,51,UP,Synth Strings 2,C_ionian_UP_51_Synth_Strings_2.wav,44100,0,Ensemble Timbres,C_ionian_UP_51_Synth_Strings_2,0,10,train
C,ionian,52,UP,"Choir ""Aah""","C_ionian_UP_52_Choir_""Aah"".wav",44100,0,Ensemble Timbres,"C_ionian_UP_52_Choir_""Aah""",0,13,train
C,ionian,53,UP,"Choir ""Ooh""","C_ionian_UP_53_Choir_""Ooh"".wav",44100,0,Ensemble Timbres,"C_ionian_UP_53_Choir_""Ooh""",0,13,train
C,ionian,54,UP,Synth Voice,C_ionian_UP_54_Synth_Voice.wav,44100,0,Ensemble Timbres,C_ionian_UP_54_Synth_Voice,0,6,train
C,ionian,56,UP,Trumpet,C_ionian_UP_56_Trumpet.wav,44100,0,Brass Timbres,C_ionian_UP_56_Trumpet,0,12,train
C,ionian,57,UP,Trombone,C_ionian_UP_57_Trombone.wav,44100,0,Brass Timbres,C_ionian_UP_57_Trombone,0,3,train
C,ionian,58,UP,Tuba,C_ionian_UP_58_Tuba.wav,44100,0,Brass Timbres,C_ionian_UP_58_Tuba,0,10,train
C,ionian,59,UP,Muted Trumpet,C_ionian_UP_59_Muted_Trumpet.wav,44100,0,Brass Timbres,C_ionian_UP_59_Muted_Trumpet,0,10,train
C,ionian,60,UP,French Horn,C_ionian_UP_60_French_Horn.wav,44100,0,Brass Timbres,C_ionian_UP_60_French_Horn,0,18,test
C,ionian,61,UP,Brass Section,C_ionian_UP_61_Brass_Section.wav,44100,0,Brass Timbres,C_ionian_UP_61_Brass_Section,0,18,test
C,ionian,62,UP,Synth Brass 1,C_ionian_UP_62_Synth_Brass_1.wav,44100,0,Brass Timbres,C_ionian_UP_62_Synth_Brass_1,0,2,train
C,ionian,63,UP,Synth Brass 2,C_ionian_UP_63_Synth_Brass_2.wav,44100,0,Brass Timbres,C_ionian_UP_63_Synth_Brass_2,0,20,test
C,ionian,64,UP,Soprano Sax,C_ionian_UP_64_Soprano_Sax.wav,44100,0,Reed Timbres,C_ionian_UP_64_Soprano_Sax,0,10,train
C,ionian,65,UP,Alto Sax,C_ionian_UP_65_Alto_Sax.wav,44100,0,Reed Timbres,C_ionian_UP_65_Alto_Sax,0,14,train
C,ionian,66,UP,Tenor Sax,C_ionian_UP_66_Tenor_Sax.wav,44100,0,Reed Timbres,C_ionian_UP_66_Tenor_Sax,0,7,train
C,ionian,67,UP,Baritone Sax,C_ionian_UP_67_Baritone_Sax.wav,44100,0,Reed Timbres,C_ionian_UP_67_Baritone_Sax,0,20,test
C,ionian,68,UP,Oboe,C_ionian_UP_68_Oboe.wav,44100,0,Reed Timbres,C_ionian_UP_68_Oboe,0,2,train
C,ionian,69,UP,English Horn,C_ionian_UP_69_English_Horn.wav,44100,0,Reed Timbres,C_ionian_UP_69_English_Horn,0,4,train
C,ionian,70,UP,Bassoon,C_ionian_UP_70_Bassoon.wav,44100,0,Reed Timbres,C_ionian_UP_70_Bassoon,0,15,valid
C,ionian,71,UP,Clarinet,C_ionian_UP_71_Clarinet.wav,44100,0,Reed Timbres,C_ionian_UP_71_Clarinet,0,17,valid
C,ionian,72,UP,Piccolo,C_ionian_UP_72_Piccolo.wav,44100,0,Pipe Timbres,C_ionian_UP_72_Piccolo,0,16,valid
C,ionian,73,UP,Flute,C_ionian_UP_73_Flute.wav,44100,0,Pipe Timbres,C_ionian_UP_73_Flute,0,16,valid
C,ionian,74,UP,Recorder,C_ionian_UP_74_Recorder.wav,44100,0,Pipe Timbres,C_ionian_UP_74_Recorder,0,13,train
C,ionian,75,UP,Pan Flute,C_ionian_UP_75_Pan_Flute.wav,44100,0,Pipe Timbres,C_ionian_UP_75_Pan_Flute,0,4,train
C,ionian,76,UP,Bottle Blow,C_ionian_UP_76_Bottle_Blow.wav,44100,0,Pipe Timbres,C_ionian_UP_76_Bottle_Blow,0,5,train
C,ionian,79,UP,Ocarina,C_ionian_UP_79_Ocarina.wav,44100,0,Pipe Timbres,C_ionian_UP_79_Ocarina,0,5,train
C,ionian,80,UP,Square Wave Lead,C_ionian_UP_80_Square_Wave_Lead.wav,44100,0,Synth Lead,C_ionian_UP_80_Square_Wave_Lead,0,18,test
C,ionian,81,UP,Sawtooth Wave Lead,C_ionian_UP_81_Sawtooth_Wave_Lead.wav,44100,0,Synth Lead,C_ionian_UP_81_Sawtooth_Wave_Lead,0,2,train
C,ionian,82,UP,Calliope Lead,C_ionian_UP_82_Calliope_Lead.wav,44100,0,Synth Lead,C_ionian_UP_82_Calliope_Lead,0,4,train
C,ionian,83,UP,Chiff Lead,C_ionian_UP_83_Chiff_Lead.wav,44100,0,Synth Lead,C_ionian_UP_83_Chiff_Lead,0,5,train
C,ionian,84,UP,Charang Lead,C_ionian_UP_84_Charang_Lead.wav,44100,0,Synth Lead,C_ionian_UP_84_Charang_Lead,0,3,train
C,ionian,85,UP,Voice Lead,C_ionian_UP_85_Voice_Lead.wav,44100,0,Synth Lead,C_ionian_UP_85_Voice_Lead,0,17,valid
C,ionian,87,UP,Bass Lead,C_ionian_UP_87_Bass_Lead.wav,44100,0,Synth Lead,C_ionian_UP_87_Bass_Lead,0,8,train
C,ionian,88,UP,New Age Pad,C_ionian_UP_88_New_Age_Pad.wav,44100,0,Synth Pad,C_ionian_UP_88_New_Age_Pad,0,2,train
C,ionian,89,UP,Warm Pad,C_ionian_UP_89_Warm_Pad.wav,44100,0,Synth Pad,C_ionian_UP_89_Warm_Pad,0,7,train
C,ionian,90,UP,Polysynth Pad,C_ionian_UP_90_Polysynth_Pad.wav,44100,0,Synth Pad,C_ionian_UP_90_Polysynth_Pad,0,18,test
C,ionian,91,UP,Choir Pad,C_ionian_UP_91_Choir_Pad.wav,44100,0,Synth Pad,C_ionian_UP_91_Choir_Pad,0,11,train
C,ionian,92,UP,Bowed Pad,C_ionian_UP_92_Bowed_Pad.wav,44100,0,Synth Pad,C_ionian_UP_92_Bowed_Pad,0,1,train
C,ionian,93,UP,Metallic Pad,C_ionian_UP_93_Metallic_Pad.wav,44100,0,Synth Pad,C_ionian_UP_93_Metallic_Pad,0,10,train
C,ionian,94,UP,Halo Pad,C_ionian_UP_94_Halo_Pad.wav,44100,0,Synth Pad,C_ionian_UP_94_Halo_Pad,0,3,train
C,ionian,95,UP,Sweep Pad,C_ionian_UP_95_Sweep_Pad.wav,44100,0,Synth Pad,C_ionian_UP_95_Sweep_Pad,0,2,train
C,ionian,104,UP,Sitar,C_ionian_UP_104_Sitar.wav,44100,0,Ethnic Timbres,C_ionian_UP_104_Sitar,0,3,train
C,ionian,105,UP,Banjo,C_ionian_UP_105_Banjo.wav,44100,0,Ethnic Timbres,C_ionian_UP_105_Banjo,0,16,valid
C,ionian,106,UP,Shamisen,C_ionian_UP_106_Shamisen.wav,44100,0,Ethnic Timbres,C_ionian_UP_106_Shamisen,0,19,test
C,ionian,107,UP,Koto,C_ionian_UP_107_Koto.wav,44100,0,Ethnic Timbres,C_ionian_UP_107_Koto,0,20,test
C,ionian,108,UP,Kalimba,C_ionian_UP_108_Kalimba.wav,44100,0,Ethnic Timbres,C_ionian_UP_108_Kalimba,0,1,train
C,ionian,109,UP,Bagpipe,C_ionian_UP_109_Bagpipe.wav,44100,0,Ethnic Timbres,C_ionian_UP_109_Bagpipe,0,11,train
C,ionian,110,UP,Fiddle,C_ionian_UP_110_Fiddle.wav,44100,0,Ethnic Timbres,C_ionian_UP_110_Fiddle,0,16,valid
C,ionian,111,UP,Shanai,C_ionian_UP_111_Shanai.wav,44100,0,Ethnic Timbres,C_ionian_UP_111_Shanai,0,5,train
C,ionian,0,DOWN,Acoustic Grand Piano,C_ionian_DOWN_0_Acoustic_Grand_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_0_Acoustic_Grand_Piano,0,12,train
C,ionian,1,DOWN,Bright Acoustic Piano,C_ionian_DOWN_1_Bright_Acoustic_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_1_Bright_Acoustic_Piano,0,3,train
C,ionian,2,DOWN,Electric Grand Piano,C_ionian_DOWN_2_Electric_Grand_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_2_Electric_Grand_Piano,0,18,test
C,ionian,3,DOWN,Honky-tonk Piano,C_ionian_DOWN_3_Honky-tonk_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_3_Honky-tonk_Piano,0,16,valid
C,ionian,4,DOWN,Rhodes Piano,C_ionian_DOWN_4_Rhodes_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_4_Rhodes_Piano,0,10,train
C,ionian,5,DOWN,Chorused Piano,C_ionian_DOWN_5_Chorused_Piano.wav,44100,1,Piano Timbres,C_ionian_DOWN_5_Chorused_Piano,0,2,train
C,ionian,6,DOWN,Harpsichord,C_ionian_DOWN_6_Harpsichord.wav,44100,1,Piano Timbres,C_ionian_DOWN_6_Harpsichord,0,9,train
C,ionian,7,DOWN,Clavinet,C_ionian_DOWN_7_Clavinet.wav,44100,1,Piano Timbres,C_ionian_DOWN_7_Clavinet,0,17,valid
C,ionian,10,DOWN,Music Box,C_ionian_DOWN_10_Music_Box.wav,44100,1,Chromatic Percussion,C_ionian_DOWN_10_Music_Box,0,12,train
C,ionian,11,DOWN,Vibraphone,C_ionian_DOWN_11_Vibraphone.wav,44100,1,Chromatic Percussion,C_ionian_DOWN_11_Vibraphone,0,1,train
C,ionian,12,DOWN,Marimba,C_ionian_DOWN_12_Marimba.wav,44100,1,Chromatic Percussion,C_ionian_DOWN_12_Marimba,0,9,train
C,ionian,13,DOWN,Xylophone,C_ionian_DOWN_13_Xylophone.wav,44100,1,Chromatic Percussion,C_ionian_DOWN_13_Xylophone,0,6,train
C,ionian,15,DOWN,Dulcimer,C_ionian_DOWN_15_Dulcimer.wav,44100,1,Chromatic Percussion,C_ionian_DOWN_15_Dulcimer,0,3,train
C,ionian,16,DOWN,Hammond Organ,C_ionian_DOWN_16_Hammond_Organ.wav,44100,1,Organ Timbres,C_ionian_DOWN_16_Hammond_Organ,0,6,train
C,ionian,17,DOWN,Percussive Organ,C_ionian_DOWN_17_Percussive_Organ.wav,44100,1,Organ Timbres,C_ionian_DOWN_17_Percussive_Organ,0,11,train
C,ionian,18,DOWN,Rock Organ,C_ionian_DOWN_18_Rock_Organ.wav,44100,1,Organ Timbres,C_ionian_DOWN_18_Rock_Organ,0,10,train
C,ionian,19,DOWN,Church Organ,C_ionian_DOWN_19_Church_Organ.wav,44100,1,Organ Timbres,C_ionian_DOWN_19_Church_Organ,0,14,train
C,ionian,20,DOWN,Reed Organ,C_ionian_DOWN_20_Reed_Organ.wav,44100,1,Organ Timbres,C_ionian_DOWN_20_Reed_Organ,0,5,train
C,ionian,24,DOWN,Acoustic Nylon Guitar,C_ionian_DOWN_24_Acoustic_Nylon_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_24_Acoustic_Nylon_Guitar,0,10,train
C,ionian,25,DOWN,Acoustic Steel Guitar,C_ionian_DOWN_25_Acoustic_Steel_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_25_Acoustic_Steel_Guitar,0,11,train
C,ionian,26,DOWN,Electric Jazz Guitar,C_ionian_DOWN_26_Electric_Jazz_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_26_Electric_Jazz_Guitar,0,2,train
C,ionian,27,DOWN,Electric Clean Guitar,C_ionian_DOWN_27_Electric_Clean_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_27_Electric_Clean_Guitar,0,5,train
C,ionian,28,DOWN,Electric Muted Guitar,C_ionian_DOWN_28_Electric_Muted_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_28_Electric_Muted_Guitar,0,6,train
C,ionian,29,DOWN,Overdriven Guitar,C_ionian_DOWN_29_Overdriven_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_29_Overdriven_Guitar,0,3,train
C,ionian,30,DOWN,Distortion Guitar,C_ionian_DOWN_30_Distortion_Guitar.wav,44100,1,Guitar Timbres,C_ionian_DOWN_30_Distortion_Guitar,0,1,train
C,ionian,32,DOWN,Acoustic Bass,C_ionian_DOWN_32_Acoustic_Bass.wav,44100,1,Bass Timbres,C_ionian_DOWN_32_Acoustic_Bass,0,1,train
C,ionian,33,DOWN,Fingered Electric Bass,C_ionian_DOWN_33_Fingered_Electric_Bass.wav,44100,1,Bass Timbres,C_ionian_DOWN_33_Fingered_Electric_Bass,0,12,train
C,ionian,34,DOWN,Plucked Electric Bass,C_ionian_DOWN_34_Plucked_Electric_Bass.wav,44100,1,Bass Timbres,C_ionian_DOWN_34_Plucked_Electric_Bass,0,11,train
C,ionian,35,DOWN,Fretless Bass,C_ionian_DOWN_35_Fretless_Bass.wav,44100,1,Bass Timbres,C_ionian_DOWN_35_Fretless_Bass,0,9,train
C,ionian,36,DOWN,Slap Bass 1,C_ionian_DOWN_36_Slap_Bass_1.wav,44100,1,Bass Timbres,C_ionian_DOWN_36_Slap_Bass_1,0,15,valid
C,ionian,37,DOWN,Slap Bass 2,C_ionian_DOWN_37_Slap_Bass_2.wav,44100,1,Bass Timbres,C_ionian_DOWN_37_Slap_Bass_2,0,17,valid
C,ionian,38,DOWN,Synth Bass 1,C_ionian_DOWN_38_Synth_Bass_1.wav,44100,1,Bass Timbres,C_ionian_DOWN_38_Synth_Bass_1,0,14,train
C,ionian,39,DOWN,Synth Bass 2,C_ionian_DOWN_39_Synth_Bass_2.wav,44100,1,Bass Timbres,C_ionian_DOWN_39_Synth_Bass_2,0,6,train
C,ionian,40,DOWN,Violin,C_ionian_DOWN_40_Violin.wav,44100,1,String Timbres,C_ionian_DOWN_40_Violin,0,5,train
C,ionian,41,DOWN,Viola,C_ionian_DOWN_41_Viola.wav,44100,1,String Timbres,C_ionian_DOWN_41_Viola,0,20,test
C,ionian,42,DOWN,Cello,C_ionian_DOWN_42_Cello.wav,44100,1,String Timbres,C_ionian_DOWN_42_Cello,0,1,train
C,ionian,43,DOWN,Contrabass,C_ionian_DOWN_43_Contrabass.wav,44100,1,String Timbres,C_ionian_DOWN_43_Contrabass,0,20,test
C,ionian,44,DOWN,Tremolo Strings,C_ionian_DOWN_44_Tremolo_Strings.wav,44100,1,String Timbres,C_ionian_DOWN_44_Tremolo_Strings,0,10,train
C,ionian,45,DOWN,Pizzicato Strings,C_ionian_DOWN_45_Pizzicato_Strings.wav,44100,1,String Timbres,C_ionian_DOWN_45_Pizzicato_Strings,0,19,test
C,ionian,46,DOWN,Orchestral Harp,C_ionian_DOWN_46_Orchestral_Harp.wav,44100,1,String Timbres,C_ionian_DOWN_46_Orchestral_Harp,0,14,train
C,ionian,48,DOWN,String Ensemble 1,C_ionian_DOWN_48_String_Ensemble_1.wav,44100,1,Ensemble Timbres,C_ionian_DOWN_48_String_Ensemble_1,0,15,valid
C,ionian,49,DOWN,String Ensemble 2,C_ionian_DOWN_49_String_Ensemble_2.wav,44100,1,Ensemble Timbres,C_ionian_DOWN_49_String_Ensemble_2,0,4,train
C,ionian,50,DOWN,Synth Strings 1,C_ionian_DOWN_50_Synth_Strings_1.wav,44100,1,Ensemble Timbres,C_ionian_DOWN_50_Synth_Strings_1,0,14,train
C,ionian,51,DOWN,Synth Strings 2,C_ionian_DOWN_51_Synth_Strings_2.wav,44100,1,Ensemble Timbres,C_ionian_DOWN_51_Synth_Strings_2,0,20,test
C,ionian,52,DOWN,"Choir ""Aah""","C_ionian_DOWN_52_Choir_""Aah"".wav",44100,1,Ensemble Timbres,"C_ionian_DOWN_52_Choir_""Aah""",0,10,train
C,ionian,53,DOWN,"Choir ""Ooh""","C_ionian_DOWN_53_Choir_""Ooh"".wav",44100,1,Ensemble Timbres,"C_ionian_DOWN_53_Choir_""Ooh""",0,10,train
C,ionian,54,DOWN,Synth Voice,C_ionian_DOWN_54_Synth_Voice.wav,44100,1,Ensemble Timbres,C_ionian_DOWN_54_Synth_Voice,0,18,test
C,ionian,56,DOWN,Trumpet,C_ionian_DOWN_56_Trumpet.wav,44100,1,Brass Timbres,C_ionian_DOWN_56_Trumpet,0,20,test
C,ionian,57,DOWN,Trombone,C_ionian_DOWN_57_Trombone.wav,44100,1,Brass Timbres,C_ionian_DOWN_57_Trombone,0,2,train
C,ionian,58,DOWN,Tuba,C_ionian_DOWN_58_Tuba.wav,44100,1,Brass Timbres,C_ionian_DOWN_58_Tuba,0,12,train
C,ionian,59,DOWN,Muted Trumpet,C_ionian_DOWN_59_Muted_Trumpet.wav,44100,1,Brass Timbres,C_ionian_DOWN_59_Muted_Trumpet,0,7,train
C,ionian,60,DOWN,French Horn,C_ionian_DOWN_60_French_Horn.wav,44100,1,Brass Timbres,C_ionian_DOWN_60_French_Horn,0,18,test
C,ionian,61,DOWN,Brass Section,C_ionian_DOWN_61_Brass_Section.wav,44100,1,Brass Timbres,C_ionian_DOWN_61_Brass_Section,0,2,train
C,ionian,62,DOWN,Synth Brass 1,C_ionian_DOWN_62_Synth_Brass_1.wav,44100,1,Brass Timbres,C_ionian_DOWN_62_Synth_Brass_1,0,20,test
C,ionian,63,DOWN,Synth Brass 2,C_ionian_DOWN_63_Synth_Brass_2.wav,44100,1,Brass Timbres,C_ionian_DOWN_63_Synth_Brass_2,0,2,train
C,ionian,64,DOWN,Soprano Sax,C_ionian_DOWN_64_Soprano_Sax.wav,44100,1,Reed Timbres,C_ionian_DOWN_64_Soprano_Sax,0,19,test
C,ionian,65,DOWN,Alto Sax,C_ionian_DOWN_65_Alto_Sax.wav,44100,1,Reed Timbres,C_ionian_DOWN_65_Alto_Sax,0,4,train
C,ionian,66,DOWN,Tenor Sax,C_ionian_DOWN_66_Tenor_Sax.wav,44100,1,Reed Timbres,C_ionian_DOWN_66_Tenor_Sax,0,4,train
C,ionian,67,DOWN,Baritone Sax,C_ionian_DOWN_67_Baritone_Sax.wav,44100,1,Reed Timbres,C_ionian_DOWN_67_Baritone_Sax,0,3,train
C,ionian,68,DOWN,Oboe,C_ionian_DOWN_68_Oboe.wav,44100,1,Reed Timbres,C_ionian_DOWN_68_Oboe,0,8,train
C,ionian,69,DOWN,English Horn,C_ionian_DOWN_69_English_Horn.wav,44100,1,Reed Timbres,C_ionian_DOWN_69_English_Horn,0,16,valid
C,ionian,70,DOWN,Bassoon,C_ionian_DOWN_70_Bassoon.wav,44100,1,Reed Timbres,C_ionian_DOWN_70_Bassoon,0,16,valid
C,ionian,71,DOWN,Clarinet,C_ionian_DOWN_71_Clarinet.wav,44100,1,Reed Timbres,C_ionian_DOWN_71_Clarinet,0,15,valid
C,ionian,72,DOWN,Piccolo,C_ionian_DOWN_72_Piccolo.wav,44100,1,Pipe Timbres,C_ionian_DOWN_72_Piccolo,0,9,train
C,ionian,73,DOWN,Flute,C_ionian_DOWN_73_Flute.wav,44100,1,Pipe Timbres,C_ionian_DOWN_73_Flute,0,2,train
C,ionian,74,DOWN,Recorder,C_ionian_DOWN_74_Recorder.wav,44100,1,Pipe Timbres,C_ionian_DOWN_74_Recorder,0,18,test
C,ionian,75,DOWN,Pan Flute,C_ionian_DOWN_75_Pan_Flute.wav,44100,1,Pipe Timbres,C_ionian_DOWN_75_Pan_Flute,0,8,train
C,ionian,76,DOWN,Bottle Blow,C_ionian_DOWN_76_Bottle_Blow.wav,44100,1,Pipe Timbres,C_ionian_DOWN_76_Bottle_Blow,0,7,train
C,ionian,79,DOWN,Ocarina,C_ionian_DOWN_79_Ocarina.wav,44100,1,Pipe Timbres,C_ionian_DOWN_79_Ocarina,0,12,train
C,ionian,80,DOWN,Square Wave Lead,C_ionian_DOWN_80_Square_Wave_Lead.wav,44100,1,Synth Lead,C_ionian_DOWN_80_Square_Wave_Lead,0,15,valid
C,ionian,81,DOWN,Sawtooth Wave Lead,C_ionian_DOWN_81_Sawtooth_Wave_Lead.wav,44100,1,Synth Lead,C_ionian_DOWN_81_Sawtooth_Wave_Lead,0,8,train
C,ionian,82,DOWN,Calliope Lead,C_ionian_DOWN_82_Calliope_Lead.wav,44100,1,Synth Lead,C_ionian_DOWN_82_Calliope_Lead,0,7,train
C,ionian,83,DOWN,Chiff Lead,C_ionian_DOWN_83_Chiff_Lead.wav,44100,1,Synth Lead,C_ionian_DOWN_83_Chiff_Lead,0,19,test
C,ionian,84,DOWN,Charang Lead,C_ionian_DOWN_84_Charang_Lead.wav,44100,1,Synth Lead,C_ionian_DOWN_84_Charang_Lead,0,6,train
