name,inst,root,pitch,octave,quality,quality_idx,inv,bpm,fold,set_type
AcousticGrandPiano-d3-majorminor7_inv2,AcousticGrandPiano,d3,d,3,majorminor7,2,2,60,10,train
AcousticGrandPiano-d3-majorminor7_inv3,AcousticGrandPiano,d3,d,3,majorminor7,2,3,60,16,valid
AcousticGrandPiano-ds4-majorminor7_inv0,AcousticGrandPiano,ds4,ds,4,majorminor7,2,0,60,12,train
AcousticGrandPiano-ds3-majorminor7_inv1,AcousticGrandPiano,ds3,ds,3,majorminor7,2,1,60,20,test
AcousticGrandPiano-ds3-majorminor7_inv2,AcousticGrandPiano,ds3,ds,3,majorminor7,2,2,60,9,train
AcousticGrandPiano-ds3-majorminor7_inv3,AcousticGrandPiano,ds3,ds,3,majorminor7,2,3,60,17,valid
AcousticGrandPiano-e4-majorminor7_inv0,AcousticGrandPiano,e4,e,4,majorminor7,2,0,60,20,test
AcousticGrandPiano-e3-majorminor7_inv1,AcousticGrandPiano,e3,e,3,majorminor7,2,1,60,4,train
AcousticGrandPiano-e3-majorminor7_inv2,AcousticGrandPiano,e3,e,3,majorminor7,2,2,60,14,train
AcousticGrandPiano-e3-majorminor7_inv3,AcousticGrandPiano,e3,e,3,majorminor7,2,3,60,12,train
AcousticGrandPiano-f4-majorminor7_inv0,AcousticGrandPiano,f4,f,4,majorminor7,2,0,60,4,train
AcousticGrandPiano-f3-majorminor7_inv1,AcousticGrandPiano,f3,f,3,majorminor7,2,1,60,12,train
AcousticGrandPiano-f3-majorminor7_inv2,AcousticGrandPiano,f3,f,3,majorminor7,2,2,60,5,train
AcousticGrandPiano-f3-majorminor7_inv3,AcousticGrandPiano,f3,f,3,majorminor7,2,3,60,4,train
AcousticGrandPiano-fs3-majorminor7_inv0,AcousticGrandPiano,fs3,fs,3,majorminor7,2,0,60,10,train
AcousticGrandPiano-fs3-majorminor7_inv1,AcousticGrandPiano,fs3,fs,3,majorminor7,2,1,60,9,train
AcousticGrandPiano-fs3-majorminor7_inv2,AcousticGrandPiano,fs3,fs,3,majorminor7,2,2,60,2,train
AcousticGrandPiano-fs3-majorminor7_inv3,AcousticGrandPiano,fs3,fs,3,majorminor7,2,3,60,13,train
AcousticGrandPiano-g3-majorminor7_inv0,AcousticGrandPiano,g3,g,3,majorminor7,2,0,60,13,train
AcousticGrandPiano-g3-majorminor7_inv1,AcousticGrandPiano,g3,g,3,majorminor7,2,1,60,12,train
AcousticGrandPiano-g3-majorminor7_inv2,AcousticGrandPiano,g3,g,3,majorminor7,2,2,60,16,valid
AcousticGrandPiano-g3-majorminor7_inv3,AcousticGrandPiano,g3,g,3,majorminor7,2,3,60,4,train
AcousticGrandPiano-gs3-majorminor7_inv0,AcousticGrandPiano,gs3,gs,3,majorminor7,2,0,60,16,valid
AcousticGrandPiano-gs3-majorminor7_inv1,AcousticGrandPiano,gs3,gs,3,majorminor7,2,1,60,6,train
AcousticGrandPiano-gs3-majorminor7_inv2,AcousticGrandPiano,gs3,gs,3,majorminor7,2,2,60,8,train
AcousticGrandPiano-gs3-majorminor7_inv3,AcousticGrandPiano,gs3,gs,3,majorminor7,2,3,60,13,train
AcousticGrandPiano-a3-majorminor7_inv0,AcousticGrandPiano,a3,a,3,majorminor7,2,0,60,7,train
AcousticGrandPiano-a3-majorminor7_inv1,AcousticGrandPiano,a3,a,3,majorminor7,2,1,60,10,train
AcousticGrandPiano-a3-majorminor7_inv2,AcousticGrandPiano,a3,a,3,majorminor7,2,2,60,4,train
AcousticGrandPiano-a3-majorminor7_inv3,AcousticGrandPiano,a3,a,3,majorminor7,2,3,60,2,train
AcousticGrandPiano-as3-majorminor7_inv0,AcousticGrandPiano,as3,as,3,majorminor7,2,0,60,14,train
AcousticGrandPiano-as3-majorminor7_inv1,AcousticGrandPiano,as3,as,3,majorminor7,2,1,60,8,train
AcousticGrandPiano-as3-majorminor7_inv2,AcousticGrandPiano,as3,as,3,majorminor7,2,2,60,5,train
AcousticGrandPiano-as3-majorminor7_inv3,AcousticGrandPiano,as3,as,3,majorminor7,2,3,60,11,train
AcousticGrandPiano-b3-majorminor7_inv0,AcousticGrandPiano,b3,b,3,majorminor7,2,0,60,16,valid
AcousticGrandPiano-b3-majorminor7_inv1,AcousticGrandPiano,b3,b,3,majorminor7,2,1,60,20,test
AcousticGrandPiano-b3-majorminor7_inv2,AcousticGrandPiano,b3,b,3,majorminor7,2,2,60,1,train
AcousticGrandPiano-b3-majorminor7_inv3,AcousticGrandPiano,b3,b,3,majorminor7,2,3,60,5,train
AcousticGrandPiano-c4-minormajor7_inv0,AcousticGrandPiano,c4,c,4,minormajor7,3,0,60,16,valid
AcousticGrandPiano-c4-minormajor7_inv1,AcousticGrandPiano,c4,c,4,minormajor7,3,1,60,9,train
AcousticGrandPiano-c3-minormajor7_inv2,AcousticGrandPiano,c3,c,3,minormajor7,3,2,60,12,train
AcousticGrandPiano-c3-minormajor7_inv3,AcousticGrandPiano,c3,c,3,minormajor7,3,3,60,17,valid
AcousticGrandPiano-cs4-minormajor7_inv0,AcousticGrandPiano,cs4,cs,4,minormajor7,3,0,60,12,train
AcousticGrandPiano-cs4-minormajor7_inv1,AcousticGrandPiano,cs4,cs,4,minormajor7,3,1,60,20,test
AcousticGrandPiano-cs3-minormajor7_inv2,AcousticGrandPiano,cs3,cs,3,minormajor7,3,2,60,20,test
AcousticGrandPiano-cs3-minormajor7_inv3,AcousticGrandPiano,cs3,cs,3,minormajor7,3,3,60,15,valid
AcousticGrandPiano-d4-minormajor7_inv0,AcousticGrandPiano,d4,d,4,minormajor7,3,0,60,11,train
AcousticGrandPiano-d4-minormajor7_inv1,AcousticGrandPiano,d4,d,4,minormajor7,3,1,60,8,train
AcousticGrandPiano-d3-minormajor7_inv2,AcousticGrandPiano,d3,d,3,minormajor7,3,2,60,19,test
AcousticGrandPiano-d3-minormajor7_inv3,AcousticGrandPiano,d3,d,3,minormajor7,3,3,60,9,train
AcousticGrandPiano-ds4-minormajor7_inv0,AcousticGrandPiano,ds4,ds,4,minormajor7,3,0,60,13,train
AcousticGrandPiano-ds3-minormajor7_inv1,AcousticGrandPiano,ds3,ds,3,minormajor7,3,1,60,19,test
AcousticGrandPiano-ds3-minormajor7_inv2,AcousticGrandPiano,ds3,ds,3,minormajor7,3,2,60,16,valid
AcousticGrandPiano-ds3-minormajor7_inv3,AcousticGrandPiano,ds3,ds,3,minormajor7,3,3,60,5,train
AcousticGrandPiano-e4-minormajor7_inv0,AcousticGrandPiano,e4,e,4,minormajor7,3,0,60,15,valid
AcousticGrandPiano-e3-minormajor7_inv1,AcousticGrandPiano,e3,e,3,minormajor7,3,1,60,4,train
AcousticGrandPiano-e3-minormajor7_inv2,AcousticGrandPiano,e3,e,3,minormajor7,3,2,60,2,train
AcousticGrandPiano-e3-minormajor7_inv3,AcousticGrandPiano,e3,e,3,minormajor7,3,3,60,20,test
AcousticGrandPiano-f4-minormajor7_inv0,AcousticGrandPiano,f4,f,4,minormajor7,3,0,60,6,train
AcousticGrandPiano-f3-minormajor7_inv1,AcousticGrandPiano,f3,f,3,minormajor7,3,1,60,19,test
AcousticGrandPiano-f3-minormajor7_inv2,AcousticGrandPiano,f3,f,3,minormajor7,3,2,60,9,train
AcousticGrandPiano-f3-minormajor7_inv3,AcousticGrandPiano,f3,f,3,minormajor7,3,3,60,12,train
AcousticGrandPiano-fs3-minormajor7_inv0,AcousticGrandPiano,fs3,fs,3,minormajor7,3,0,60,10,train
AcousticGrandPiano-fs3-minormajor7_inv1,AcousticGrandPiano,fs3,fs,3,minormajor7,3,1,60,4,train
AcousticGrandPiano-fs3-minormajor7_inv2,AcousticGrandPiano,fs3,fs,3,minormajor7,3,2,60,6,train
AcousticGrandPiano-fs3-minormajor7_inv3,AcousticGrandPiano,fs3,fs,3,minormajor7,3,3,60,3,train
AcousticGrandPiano-g3-minormajor7_inv0,AcousticGrandPiano,g3,g,3,minormajor7,3,0,60,2,train
AcousticGrandPiano-g3-minormajor7_inv1,AcousticGrandPiano,g3,g,3,minormajor7,3,1,60,13,train
AcousticGrandPiano-g3-minormajor7_inv2,AcousticGrandPiano,g3,g,3,minormajor7,3,2,60,14,train
AcousticGrandPiano-g3-minormajor7_inv3,AcousticGrandPiano,g3,g,3,minormajor7,3,3,60,12,train
AcousticGrandPiano-gs3-minormajor7_inv0,AcousticGrandPiano,gs3,gs,3,minormajor7,3,0,60,10,train
AcousticGrandPiano-gs3-minormajor7_inv1,AcousticGrandPiano,gs3,gs,3,minormajor7,3,1,60,6,train
AcousticGrandPiano-gs3-minormajor7_inv2,AcousticGrandPiano,gs3,gs,3,minormajor7,3,2,60,19,test
AcousticGrandPiano-gs3-minormajor7_inv3,AcousticGrandPiano,gs3,gs,3,minormajor7,3,3,60,9,train
AcousticGrandPiano-a3-minormajor7_inv0,AcousticGrandPiano,a3,a,3,minormajor7,3,0,60,19,test
AcousticGrandPiano-a3-minormajor7_inv1,AcousticGrandPiano,a3,a,3,minormajor7,3,1,60,5,train
AcousticGrandPiano-a3-minormajor7_inv2,AcousticGrandPiano,a3,a,3,minormajor7,3,2,60,11,train
AcousticGrandPiano-a3-minormajor7_inv3,AcousticGrandPiano,a3,a,3,minormajor7,3,3,60,12,train
AcousticGrandPiano-as3-minormajor7_inv0,AcousticGrandPiano,as3,as,3,minormajor7,3,0,60,11,train
AcousticGrandPiano-as3-minormajor7_inv1,AcousticGrandPiano,as3,as,3,minormajor7,3,1,60,17,valid
AcousticGrandPiano-as3-minormajor7_inv2,AcousticGrandPiano,as3,as,3,minormajor7,3,2,60,3,train
AcousticGrandPiano-as3-minormajor7_inv3,AcousticGrandPiano,as3,as,3,minormajor7,3,3,60,9,train
AcousticGrandPiano-b3-minormajor7_inv0,AcousticGrandPiano,b3,b,3,minormajor7,3,0,60,13,train
AcousticGrandPiano-b3-minormajor7_inv1,AcousticGrandPiano,b3,b,3,minormajor7,3,1,60,13,train
AcousticGrandPiano-b3-minormajor7_inv2,AcousticGrandPiano,b3,b,3,minormajor7,3,2,60,12,train
AcousticGrandPiano-b3-minormajor7_inv3,AcousticGrandPiano,b3,b,3,minormajor7,3,3,60,19,test
AcousticGrandPiano-c4-halfdim7_inv0,AcousticGrandPiano,c4,c,4,halfdim7,4,0,60,16,valid
AcousticGrandPiano-c4-halfdim7_inv1,AcousticGrandPiano,c4,c,4,halfdim7,4,1,60,3,train
AcousticGrandPiano-c3-halfdim7_inv2,AcousticGrandPiano,c3,c,3,halfdim7,4,2,60,4,train
AcousticGrandPiano-c3-halfdim7_inv3,AcousticGrandPiano,c3,c,3,halfdim7,4,3,60,2,train
AcousticGrandPiano-cs4-halfdim7_inv0,AcousticGrandPiano,cs4,cs,4,halfdim7,4,0,60,19,test
AcousticGrandPiano-cs4-halfdim7_inv1,AcousticGrandPiano,cs4,cs,4,halfdim7,4,1,60,1,train
AcousticGrandPiano-cs3-halfdim7_inv2,AcousticGrandPiano,cs3,cs,3,halfdim7,4,2,60,9,train
AcousticGrandPiano-cs3-halfdim7_inv3,AcousticGrandPiano,cs3,cs,3,halfdim7,4,3,60,18,test
AcousticGrandPiano-d4-halfdim7_inv0,AcousticGrandPiano,d4,d,4,halfdim7,4,0,60,18,test
AcousticGrandPiano-d4-halfdim7_inv1,AcousticGrandPiano,d4,d,4,halfdim7,4,1,60,9,train
AcousticGrandPiano-d3-halfdim7_inv2,AcousticGrandPiano,d3,d,3,halfdim7,4,2,60,1,train
AcousticGrandPiano-d3-halfdim7_inv3,AcousticGrandPiano,d3,d,3,halfdim7,4,3,60,16,valid
AcousticGrandPiano-ds4-halfdim7_inv0,AcousticGrandPiano,ds4,ds,4,halfdim7,4,0,60,11,train
AcousticGrandPiano-ds3-halfdim7_inv1,AcousticGrandPiano,ds3,ds,3,halfdim7,4,1,60,19,test
AcousticGrandPiano-ds3-halfdim7_inv2,AcousticGrandPiano,ds3,ds,3,halfdim7,4,2,60,8,train
AcousticGrandPiano-ds3-halfdim7_inv3,AcousticGrandPiano,ds3,ds,3,halfdim7,4,3,60,1,train
AcousticGrandPiano-e4-halfdim7_inv0,AcousticGrandPiano,e4,e,4,halfdim7,4,0,60,20,test
AcousticGrandPiano-e3-halfdim7_inv1,AcousticGrandPiano,e3,e,3,halfdim7,4,1,60,7,train
AcousticGrandPiano-e3-halfdim7_inv2,AcousticGrandPiano,e3,e,3,halfdim7,4,2,60,5,train
AcousticGrandPiano-e3-halfdim7_inv3,AcousticGrandPiano,e3,e,3,halfdim7,4,3,60,8,train
AcousticGrandPiano-f4-halfdim7_inv0,AcousticGrandPiano,f4,f,4,halfdim7,4,0,60,5,train
AcousticGrandPiano-f3-halfdim7_inv1,AcousticGrandPiano,f3,f,3,halfdim7,4,1,60,14,train
AcousticGrandPiano-f3-halfdim7_inv2,AcousticGrandPiano,f3,f,3,halfdim7,4,2,60,18,test
AcousticGrandPiano-f3-halfdim7_inv3,AcousticGrandPiano,f3,f,3,halfdim7,4,3,60,6,train
AcousticGrandPiano-fs3-halfdim7_inv0,AcousticGrandPiano,fs3,fs,3,halfdim7,4,0,60,8,train
AcousticGrandPiano-fs3-halfdim7_inv1,AcousticGrandPiano,fs3,fs,3,halfdim7,4,1,60,18,test
AcousticGrandPiano-fs3-halfdim7_inv2,AcousticGrandPiano,fs3,fs,3,halfdim7,4,2,60,18,test
AcousticGrandPiano-fs3-halfdim7_inv3,AcousticGrandPiano,fs3,fs,3,halfdim7,4,3,60,13,train
AcousticGrandPiano-g3-halfdim7_inv0,AcousticGrandPiano,g3,g,3,halfdim7,4,0,60,6,train
AcousticGrandPiano-g3-halfdim7_inv1,AcousticGrandPiano,g3,g,3,halfdim7,4,1,60,13,train
AcousticGrandPiano-g3-halfdim7_inv2,AcousticGrandPiano,g3,g,3,halfdim7,4,2,60,11,train
AcousticGrandPiano-g3-halfdim7_inv3,AcousticGrandPiano,g3,g,3,halfdim7,4,3,60,18,test
AcousticGrandPiano-gs3-halfdim7_inv0,AcousticGrandPiano,gs3,gs,3,halfdim7,4,0,60,15,valid
AcousticGrandPiano-gs3-halfdim7_inv1,AcousticGrandPiano,gs3,gs,3,halfdim7,4,1,60,9,train
AcousticGrandPiano-gs3-halfdim7_inv2,AcousticGrandPiano,gs3,gs,3,halfdim7,4,2,60,9,train
AcousticGrandPiano-gs3-halfdim7_inv3,AcousticGrandPiano,gs3,gs,3,halfdim7,4,3,60,19,test
AcousticGrandPiano-a3-halfdim7_inv0,AcousticGrandPiano,a3,a,3,halfdim7,4,0,60,9,train
AcousticGrandPiano-a3-halfdim7_inv1,AcousticGrandPiano,a3,a,3,halfdim7,4,1,60,9,train
AcousticGrandPiano-a3-halfdim7_inv2,AcousticGrandPiano,a3,a,3,halfdim7,4,2,60,13,train
AcousticGrandPiano-a3-halfdim7_inv3,AcousticGrandPiano,a3,a,3,halfdim7,4,3,60,19,test
AcousticGrandPiano-as3-halfdim7_inv0,AcousticGrandPiano,as3,as,3,halfdim7,4,0,60,12,train
AcousticGrandPiano-as3-halfdim7_inv1,AcousticGrandPiano,as3,as,3,halfdim7,4,1,60,17,valid
AcousticGrandPiano-as3-halfdim7_inv2,AcousticGrandPiano,as3,as,3,halfdim7,4,2,60,9,train
AcousticGrandPiano-as3-halfdim7_inv3,AcousticGrandPiano,as3,as,3,halfdim7,4,3,60,15,valid
AcousticGrandPiano-b3-halfdim7_inv0,AcousticGrandPiano,b3,b,3,halfdim7,4,0,60,15,valid
AcousticGrandPiano-b3-halfdim7_inv1,AcousticGrandPiano,b3,b,3,halfdim7,4,1,60,14,train
AcousticGrandPiano-b3-halfdim7_inv2,AcousticGrandPiano,b3,b,3,halfdim7,4,2,60,4,train
AcousticGrandPiano-b3-halfdim7_inv3,AcousticGrandPiano,b3,b,3,halfdim7,4,3,60,20,test
AcousticGrandPiano-c4-fulldim7_inv0,AcousticGrandPiano,c4,c,4,fulldim7,5,0,60,11,train
AcousticGrandPiano-c4-fulldim7_inv1,AcousticGrandPiano,c4,c,4,fulldim7,5,1,60,14,train
AcousticGrandPiano-c3-fulldim7_inv2,AcousticGrandPiano,c3,c,3,fulldim7,5,2,60,1,train
