name,inst,key_center,scale_type,is_modemix,orig_prog,sub_prog,inv,bpm,fold,set_type
AcousticGrandPiano-e4-maj-1465_inv0,AcousticGrandPiano,e4,maj,false,maj-1465,maj-1465,0,60,11,train
AcousticGrandPiano-f4-maj-1465_inv0,AcousticGrandPiano,f4,maj,false,maj-1465,maj-1465,0,60,17,valid
AcousticGrandPiano-fs4-maj-1465_inv0,AcousticGrandPiano,fs4,maj,false,maj-1465,maj-1465,0,60,13,train
AcousticGrandPiano-g4-maj-1465_inv0,AcousticGrandPiano,g4,maj,false,maj-1465,maj-1465,0,60,10,train
AcousticGrandPiano-gs4-maj-1465_inv0,AcousticGrandPiano,gs4,maj,false,maj-1465,maj-1465,0,60,6,train
AcousticGrandPiano-a4-maj-1465_inv0,AcousticGrandPiano,a4,maj,false,maj-1465,maj-1465,0,60,1,train
AcousticGrandPiano-as4-maj-1465_inv0,AcousticGrandPiano,as4,maj,false,maj-1465,maj-1465,0,60,16,valid
AcousticGrandPiano-b4-maj-1465_inv0,AcousticGrandPiano,b4,maj,false,maj-1465,maj-1465,0,60,13,train
AcousticGrandPiano-c4-mm1-1465_inv0,AcousticGrandPiano,c4,maj,true,maj-1465,mm1-1465,0,60,12,train
AcousticGrandPiano-cs4-mm1-1465_inv0,AcousticGrandPiano,cs4,maj,true,maj-1465,mm1-1465,0,60,18,test
AcousticGrandPiano-d4-mm1-1465_inv0,AcousticGrandPiano,d4,maj,true,maj-1465,mm1-1465,0,60,20,test
AcousticGrandPiano-ds4-mm1-1465_inv0,AcousticGrandPiano,ds4,maj,true,maj-1465,mm1-1465,0,60,15,valid
AcousticGrandPiano-e4-mm1-1465_inv0,AcousticGrandPiano,e4,maj,true,maj-1465,mm1-1465,0,60,19,test
AcousticGrandPiano-f4-mm1-1465_inv0,AcousticGrandPiano,f4,maj,true,maj-1465,mm1-1465,0,60,2,train
AcousticGrandPiano-fs4-mm1-1465_inv0,AcousticGrandPiano,fs4,maj,true,maj-1465,mm1-1465,0,60,3,train
AcousticGrandPiano-g4-mm1-1465_inv0,AcousticGrandPiano,g4,maj,true,maj-1465,mm1-1465,0,60,18,test
AcousticGrandPiano-gs4-mm1-1465_inv0,AcousticGrandPiano,gs4,maj,true,maj-1465,mm1-1465,0,60,4,train
AcousticGrandPiano-a4-mm1-1465_inv0,AcousticGrandPiano,a4,maj,true,maj-1465,mm1-1465,0,60,5,train
AcousticGrandPiano-as4-mm1-1465_inv0,AcousticGrandPiano,as4,maj,true,maj-1465,mm1-1465,0,60,11,train
AcousticGrandPiano-b4-mm1-1465_inv0,AcousticGrandPiano,b4,maj,true,maj-1465,mm1-1465,0,60,4,train
AcousticGrandPiano-c4-maj-1564_inv0,AcousticGrandPiano,c4,maj,false,maj-1564,maj-1564,0,60,8,train
AcousticGrandPiano-cs4-maj-1564_inv0,AcousticGrandPiano,cs4,maj,false,maj-1564,maj-1564,0,60,9,train
AcousticGrandPiano-d4-maj-1564_inv0,AcousticGrandPiano,d4,maj,false,maj-1564,maj-1564,0,60,16,valid
AcousticGrandPiano-ds4-maj-1564_inv0,AcousticGrandPiano,ds4,maj,false,maj-1564,maj-1564,0,60,14,train
AcousticGrandPiano-e4-maj-1564_inv0,AcousticGrandPiano,e4,maj,false,maj-1564,maj-1564,0,60,15,valid
AcousticGrandPiano-f4-maj-1564_inv0,AcousticGrandPiano,f4,maj,false,maj-1564,maj-1564,0,60,20,test
AcousticGrandPiano-fs4-maj-1564_inv0,AcousticGrandPiano,fs4,maj,false,maj-1564,maj-1564,0,60,10,train
AcousticGrandPiano-g4-maj-1564_inv0,AcousticGrandPiano,g4,maj,false,maj-1564,maj-1564,0,60,10,train
AcousticGrandPiano-gs4-maj-1564_inv0,AcousticGrandPiano,gs4,maj,false,maj-1564,maj-1564,0,60,4,train
AcousticGrandPiano-a4-maj-1564_inv0,AcousticGrandPiano,a4,maj,false,maj-1564,maj-1564,0,60,5,train
AcousticGrandPiano-as4-maj-1564_inv0,AcousticGrandPiano,as4,maj,false,maj-1564,maj-1564,0,60,10,train
AcousticGrandPiano-b4-maj-1564_inv0,AcousticGrandPiano,b4,maj,false,maj-1564,maj-1564,0,60,10,train
AcousticGrandPiano-c4-mm1-1564_inv0,AcousticGrandPiano,c4,maj,true,maj-1564,mm1-1564,0,60,12,train
AcousticGrandPiano-cs4-mm1-1564_inv0,AcousticGrandPiano,cs4,maj,true,maj-1564,mm1-1564,0,60,12,train
AcousticGrandPiano-d4-mm1-1564_inv0,AcousticGrandPiano,d4,maj,true,maj-1564,mm1-1564,0,60,8,train
AcousticGrandPiano-ds4-mm1-1564_inv0,AcousticGrandPiano,ds4,maj,true,maj-1564,mm1-1564,0,60,3,train
AcousticGrandPiano-e4-mm1-1564_inv0,AcousticGrandPiano,e4,maj,true,maj-1564,mm1-1564,0,60,12,train
AcousticGrandPiano-f4-mm1-1564_inv0,AcousticGrandPiano,f4,maj,true,maj-1564,mm1-1564,0,60,2,train
AcousticGrandPiano-fs4-mm1-1564_inv0,AcousticGrandPiano,fs4,maj,true,maj-1564,mm1-1564,0,60,14,train
AcousticGrandPiano-g4-mm1-1564_inv0,AcousticGrandPiano,g4,maj,true,maj-1564,mm1-1564,0,60,5,train
AcousticGrandPiano-gs4-mm1-1564_inv0,AcousticGrandPiano,gs4,maj,true,maj-1564,mm1-1564,0,60,9,train
AcousticGrandPiano-a4-mm1-1564_inv0,AcousticGrandPiano,a4,maj,true,maj-1564,mm1-1564,0,60,4,train
AcousticGrandPiano-as4-mm1-1564_inv0,AcousticGrandPiano,as4,maj,true,maj-1564,mm1-1564,0,60,2,train
AcousticGrandPiano-b4-mm1-1564_inv0,AcousticGrandPiano,b4,maj,true,maj-1564,mm1-1564,0,60,11,train
AcousticGrandPiano-c4-maj-1645_inv0,AcousticGrandPiano,c4,maj,false,maj-1645,maj-1645,0,60,2,train
AcousticGrandPiano-cs4-maj-1645_inv0,AcousticGrandPiano,cs4,maj,false,maj-1645,maj-1645,0,60,1,train
AcousticGrandPiano-d4-maj-1645_inv0,AcousticGrandPiano,d4,maj,false,maj-1645,maj-1645,0,60,20,test
AcousticGrandPiano-ds4-maj-1645_inv0,AcousticGrandPiano,ds4,maj,false,maj-1645,maj-1645,0,60,8,train
AcousticGrandPiano-e4-maj-1645_inv0,AcousticGrandPiano,e4,maj,false,maj-1645,maj-1645,0,60,5,train
AcousticGrandPiano-f4-maj-1645_inv0,AcousticGrandPiano,f4,maj,false,maj-1645,maj-1645,0,60,6,train
AcousticGrandPiano-fs4-maj-1645_inv0,AcousticGrandPiano,fs4,maj,false,maj-1645,maj-1645,0,60,16,valid
AcousticGrandPiano-g4-maj-1645_inv0,AcousticGrandPiano,g4,maj,false,maj-1645,maj-1645,0,60,12,train
AcousticGrandPiano-gs4-maj-1645_inv0,AcousticGrandPiano,gs4,maj,false,maj-1645,maj-1645,0,60,20,test
AcousticGrandPiano-a4-maj-1645_inv0,AcousticGrandPiano,a4,maj,false,maj-1645,maj-1645,0,60,11,train
AcousticGrandPiano-as4-maj-1645_inv0,AcousticGrandPiano,as4,maj,false,maj-1645,maj-1645,0,60,20,test
AcousticGrandPiano-b4-maj-1645_inv0,AcousticGrandPiano,b4,maj,false,maj-1645,maj-1645,0,60,14,train
AcousticGrandPiano-c4-mm1-1645_inv0,AcousticGrandPiano,c4,maj,true,maj-1645,mm1-1645,0,60,15,valid
AcousticGrandPiano-cs4-mm1-1645_inv0,AcousticGrandPiano,cs4,maj,true,maj-1645,mm1-1645,0,60,20,test
AcousticGrandPiano-d4-mm1-1645_inv0,AcousticGrandPiano,d4,maj,true,maj-1645,mm1-1645,0,60,16,valid
AcousticGrandPiano-ds4-mm1-1645_inv0,AcousticGrandPiano,ds4,maj,true,maj-1645,mm1-1645,0,60,12,train
AcousticGrandPiano-e4-mm1-1645_inv0,AcousticGrandPiano,e4,maj,true,maj-1645,mm1-1645,0,60,20,test
AcousticGrandPiano-f4-mm1-1645_inv0,AcousticGrandPiano,f4,maj,true,maj-1645,mm1-1645,0,60,11,train
AcousticGrandPiano-fs4-mm1-1645_inv0,AcousticGrandPiano,fs4,maj,true,maj-1645,mm1-1645,0,60,20,test
AcousticGrandPiano-g4-mm1-1645_inv0,AcousticGrandPiano,g4,maj,true,maj-1645,mm1-1645,0,60,14,train
AcousticGrandPiano-gs4-mm1-1645_inv0,AcousticGrandPiano,gs4,maj,true,maj-1645,mm1-1645,0,60,5,train
AcousticGrandPiano-a4-mm1-1645_inv0,AcousticGrandPiano,a4,maj,true,maj-1645,mm1-1645,0,60,5,train
AcousticGrandPiano-as4-mm1-1645_inv0,AcousticGrandPiano,as4,maj,true,maj-1645,mm1-1645,0,60,2,train
AcousticGrandPiano-b4-mm1-1645_inv0,AcousticGrandPiano,b4,maj,true,maj-1645,mm1-1645,0,60,1,train
AcousticGrandPiano-c4-maj-2516_inv0,AcousticGrandPiano,c4,maj,false,maj-2516,maj-2516,0,60,11,train
AcousticGrandPiano-cs4-maj-2516_inv0,AcousticGrandPiano,cs4,maj,false,maj-2516,maj-2516,0,60,19,test
AcousticGrandPiano-d4-maj-2516_inv0,AcousticGrandPiano,d4,maj,false,maj-2516,maj-2516,0,60,18,test
AcousticGrandPiano-ds4-maj-2516_inv0,AcousticGrandPiano,ds4,maj,false,maj-2516,maj-2516,0,60,11,train
AcousticGrandPiano-e4-maj-2516_inv0,AcousticGrandPiano,e4,maj,false,maj-2516,maj-2516,0,60,8,train
AcousticGrandPiano-f4-maj-2516_inv0,AcousticGrandPiano,f4,maj,false,maj-2516,maj-2516,0,60,3,train
AcousticGrandPiano-fs4-maj-2516_inv0,AcousticGrandPiano,fs4,maj,false,maj-2516,maj-2516,0,60,15,valid
AcousticGrandPiano-g4-maj-2516_inv0,AcousticGrandPiano,g4,maj,false,maj-2516,maj-2516,0,60,19,test
AcousticGrandPiano-gs4-maj-2516_inv0,AcousticGrandPiano,gs4,maj,false,maj-2516,maj-2516,0,60,14,train
AcousticGrandPiano-a4-maj-2516_inv0,AcousticGrandPiano,a4,maj,false,maj-2516,maj-2516,0,60,17,valid
AcousticGrandPiano-as4-maj-2516_inv0,AcousticGrandPiano,as4,maj,false,maj-2516,maj-2516,0,60,18,test
AcousticGrandPiano-b4-maj-2516_inv0,AcousticGrandPiano,b4,maj,false,maj-2516,maj-2516,0,60,5,train
AcousticGrandPiano-c4-mm1-2516_inv0,AcousticGrandPiano,c4,maj,true,maj-2516,mm1-2516,0,60,19,test
AcousticGrandPiano-cs4-mm1-2516_inv0,AcousticGrandPiano,cs4,maj,true,maj-2516,mm1-2516,0,60,1,train
AcousticGrandPiano-d4-mm1-2516_inv0,AcousticGrandPiano,d4,maj,true,maj-2516,mm1-2516,0,60,6,train
AcousticGrandPiano-ds4-mm1-2516_inv0,AcousticGrandPiano,ds4,maj,true,maj-2516,mm1-2516,0,60,2,train
AcousticGrandPiano-e4-mm1-2516_inv0,AcousticGrandPiano,e4,maj,true,maj-2516,mm1-2516,0,60,1,train
AcousticGrandPiano-f4-mm1-2516_inv0,AcousticGrandPiano,f4,maj,true,maj-2516,mm1-2516,0,60,7,train
AcousticGrandPiano-fs4-mm1-2516_inv0,AcousticGrandPiano,fs4,maj,true,maj-2516,mm1-2516,0,60,2,train
AcousticGrandPiano-g4-mm1-2516_inv0,AcousticGrandPiano,g4,maj,true,maj-2516,mm1-2516,0,60,8,train
AcousticGrandPiano-gs4-mm1-2516_inv0,AcousticGrandPiano,gs4,maj,true,maj-2516,mm1-2516,0,60,11,train
AcousticGrandPiano-a4-mm1-2516_inv0,AcousticGrandPiano,a4,maj,true,maj-2516,mm1-2516,0,60,9,train
AcousticGrandPiano-as4-mm1-2516_inv0,AcousticGrandPiano,as4,maj,true,maj-2516,mm1-2516,0,60,1,train
AcousticGrandPiano-b4-mm1-2516_inv0,AcousticGrandPiano,b4,maj,true,maj-2516,mm1-2516,0,60,20,test
AcousticGrandPiano-c4-maj-4156_inv0,AcousticGrandPiano,c4,maj,false,maj-4156,maj-4156,0,60,2,train
AcousticGrandPiano-cs4-maj-4156_inv0,AcousticGrandPiano,cs4,maj,false,maj-4156,maj-4156,0,60,17,valid
AcousticGrandPiano-d4-maj-4156_inv0,AcousticGrandPiano,d4,maj,false,maj-4156,maj-4156,0,60,1,train
AcousticGrandPiano-ds4-maj-4156_inv0,AcousticGrandPiano,ds4,maj,false,maj-4156,maj-4156,0,60,2,train
AcousticGrandPiano-e4-maj-4156_inv0,AcousticGrandPiano,e4,maj,false,maj-4156,maj-4156,0,60,10,train
AcousticGrandPiano-f4-maj-4156_inv0,AcousticGrandPiano,f4,maj,false,maj-4156,maj-4156,0,60,12,train
AcousticGrandPiano-fs4-maj-4156_inv0,AcousticGrandPiano,fs4,maj,false,maj-4156,maj-4156,0,60,10,train
AcousticGrandPiano-g4-maj-4156_inv0,AcousticGrandPiano,g4,maj,false,maj-4156,maj-4156,0,60,17,valid
AcousticGrandPiano-gs4-maj-4156_inv0,AcousticGrandPiano,gs4,maj,false,maj-4156,maj-4156,0,60,7,train
AcousticGrandPiano-a4-maj-4156_inv0,AcousticGrandPiano,a4,maj,false,maj-4156,maj-4156,0,60,2,train
AcousticGrandPiano-as4-maj-4156_inv0,AcousticGrandPiano,as4,maj,false,maj-4156,maj-4156,0,60,7,train
AcousticGrandPiano-b4-maj-4156_inv0,AcousticGrandPiano,b4,maj,false,maj-4156,maj-4156,0,60,14,train
AcousticGrandPiano-c4-mm1-4156_inv0,AcousticGrandPiano,c4,maj,true,maj-4156,mm1-4156,0,60,12,train
AcousticGrandPiano-cs4-mm1-4156_inv0,AcousticGrandPiano,cs4,maj,true,maj-4156,mm1-4156,0,60,19,test
AcousticGrandPiano-d4-mm1-4156_inv0,AcousticGrandPiano,d4,maj,true,maj-4156,mm1-4156,0,60,19,test
AcousticGrandPiano-ds4-mm1-4156_inv0,AcousticGrandPiano,ds4,maj,true,maj-4156,mm1-4156,0,60,13,train
AcousticGrandPiano-e4-mm1-4156_inv0,AcousticGrandPiano,e4,maj,true,maj-4156,mm1-4156,0,60,18,test
AcousticGrandPiano-f4-mm1-4156_inv0,AcousticGrandPiano,f4,maj,true,maj-4156,mm1-4156,0,60,20,test
AcousticGrandPiano-fs4-mm1-4156_inv0,AcousticGrandPiano,fs4,maj,true,maj-4156,mm1-4156,0,60,12,train
AcousticGrandPiano-g4-mm1-4156_inv0,AcousticGrandPiano,g4,maj,true,maj-4156,mm1-4156,0,60,3,train
AcousticGrandPiano-gs4-mm1-4156_inv0,AcousticGrandPiano,gs4,maj,true,maj-4156,mm1-4156,0,60,13,train
AcousticGrandPiano-a4-mm1-4156_inv0,AcousticGrandPiano,a4,maj,true,maj-4156,mm1-4156,0,60,5,train
AcousticGrandPiano-as4-mm1-4156_inv0,AcousticGrandPiano,as4,maj,true,maj-4156,mm1-4156,0,60,13,train
AcousticGrandPiano-b4-mm1-4156_inv0,AcousticGrandPiano,b4,maj,true,maj-4156,mm1-4156,0,60,17,valid
AcousticGrandPiano-c4-maj-5415_inv0,AcousticGrandPiano,c4,maj,false,maj-5415,maj-5415,0,60,9,train
AcousticGrandPiano-cs4-maj-5415_inv0,AcousticGrandPiano,cs4,maj,false,maj-5415,maj-5415,0,60,10,train
AcousticGrandPiano-d4-maj-5415_inv0,AcousticGrandPiano,d4,maj,false,maj-5415,maj-5415,0,60,3,train
AcousticGrandPiano-ds4-maj-5415_inv0,AcousticGrandPiano,ds4,maj,false,maj-5415,maj-5415,0,60,4,train
AcousticGrandPiano-e4-maj-5415_inv0,AcousticGrandPiano,e4,maj,false,maj-5415,maj-5415,0,60,7,train
AcousticGrandPiano-f4-maj-5415_inv0,AcousticGrandPiano,f4,maj,false,maj-5415,maj-5415,0,60,18,test
AcousticGrandPiano-fs4-maj-5415_inv0,AcousticGrandPiano,fs4,maj,false,maj-5415,maj-5415,0,60,7,train
AcousticGrandPiano-g4-maj-5415_inv0,AcousticGrandPiano,g4,maj,false,maj-5415,maj-5415,0,60,19,test
AcousticGrandPiano-gs4-maj-5415_inv0,AcousticGrandPiano,gs4,maj,false,maj-5415,maj-5415,0,60,14,train
AcousticGrandPiano-a4-maj-5415_inv0,AcousticGrandPiano,a4,maj,false,maj-5415,maj-5415,0,60,16,valid
AcousticGrandPiano-as4-maj-5415_inv0,AcousticGrandPiano,as4,maj,false,maj-5415,maj-5415,0,60,6,train
AcousticGrandPiano-b4-maj-5415_inv0,AcousticGrandPiano,b4,maj,false,maj-5415,maj-5415,0,60,13,train
AcousticGrandPiano-c4-mm1-5415_inv0,AcousticGrandPiano,c4,maj,true,maj-5415,mm1-5415,0,60,9,train
AcousticGrandPiano-cs4-mm1-5415_inv0,AcousticGrandPiano,cs4,maj,true,maj-5415,mm1-5415,0,60,1,train
AcousticGrandPiano-d4-mm1-5415_inv0,AcousticGrandPiano,d4,maj,true,maj-5415,mm1-5415,0,60,17,valid
AcousticGrandPiano-ds4-mm1-5415_inv0,AcousticGrandPiano,ds4,maj,true,maj-5415,mm1-5415,0,60,5,train
AcousticGrandPiano-e4-mm1-5415_inv0,AcousticGrandPiano,e4,maj,true,maj-5415,mm1-5415,0,60,8,train
AcousticGrandPiano-f4-mm1-5415_inv0,AcousticGrandPiano,f4,maj,true,maj-5415,mm1-5415,0,60,20,test
AcousticGrandPiano-fs4-mm1-5415_inv0,AcousticGrandPiano,fs4,maj,true,maj-5415,mm1-5415,0,60,6,train
AcousticGrandPiano-g4-mm1-5415_inv0,AcousticGrandPiano,g4,maj,true,maj-5415,mm1-5415,0,60,7,train
AcousticGrandPiano-gs4-mm1-5415_inv0,AcousticGrandPiano,gs4,maj,true,maj-5415,mm1-5415,0,60,11,train
AcousticGrandPiano-a4-mm1-5415_inv0,AcousticGrandPiano,a4,maj,true,maj-5415,mm1-5415,0,60,3,train
AcousticGrandPiano-as4-mm1-5415_inv0,AcousticGrandPiano,as4,maj,true,maj-5415,mm1-5415,0,60,11,train
AcousticGrandPiano-b4-mm1-5415_inv0,AcousticGrandPiano,b4,maj,true,maj-5415,mm1-5415,0,60,8,train
AcousticGrandPiano-c4-maj-5641_inv0,AcousticGrandPiano,c4,maj,false,maj-5641,maj-5641,0,60,17,valid
AcousticGrandPiano-cs4-maj-5641_inv0,AcousticGrandPiano,cs4,maj,false,maj-5641,maj-5641,0,60,16,valid
AcousticGrandPiano-d4-maj-5641_inv0,AcousticGrandPiano,d4,maj,false,maj-5641,maj-5641,0,60,9,train
AcousticGrandPiano-ds4-maj-5641_inv0,AcousticGrandPiano,ds4,maj,false,maj-5641,maj-5641,0,60,6,train
AcousticGrandPiano-e4-maj-5641_inv0,AcousticGrandPiano,e4,maj,false,maj-5641,maj-5641,0,60,15,valid
AcousticGrandPiano-f4-maj-5641_inv0,AcousticGrandPiano,f4,maj,false,maj-5641,maj-5641,0,60,17,valid
AcousticGrandPiano-fs4-maj-5641_inv0,AcousticGrandPiano,fs4,maj,false,maj-5641,maj-5641,0,60,3,train
AcousticGrandPiano-g4-maj-5641_inv0,AcousticGrandPiano,g4,maj,false,maj-5641,maj-5641,0,60,20,test
AcousticGrandPiano-gs4-maj-5641_inv0,AcousticGrandPiano,gs4,maj,false,maj-5641,maj-5641,0,60,11,train
AcousticGrandPiano-a4-maj-5641_inv0,AcousticGrandPiano,a4,maj,false,maj-5641,maj-5641,0,60,17,valid
AcousticGrandPiano-as4-maj-5641_inv0,AcousticGrandPiano,as4,maj,false,maj-5641,maj-5641,0,60,6,train
AcousticGrandPiano-b4-maj-5641_inv0,AcousticGrandPiano,b4,maj,false,maj-5641,maj-5641,0,60,17,valid
AcousticGrandPiano-c4-mm1-5641_inv0,AcousticGrandPiano,c4,maj,true,maj-5641,mm1-5641,0,60,9,train
AcousticGrandPiano-cs4-mm1-5641_inv0,AcousticGrandPiano,cs4,maj,true,maj-5641,mm1-5641,0,60,13,train
AcousticGrandPiano-d4-mm1-5641_inv0,AcousticGrandPiano,d4,maj,true,maj-5641,mm1-5641,0,60,11,train
AcousticGrandPiano-ds4-mm1-5641_inv0,AcousticGrandPiano,ds4,maj,true,maj-5641,mm1-5641,0,60,2,train
AcousticGrandPiano-e4-mm1-5641_inv0,AcousticGrandPiano,e4,maj,true,maj-5641,mm1-5641,0,60,6,train
AcousticGrandPiano-f4-mm1-5641_inv0,AcousticGrandPiano,f4,maj,true,maj-5641,mm1-5641,0,60,9,train
AcousticGrandPiano-fs4-mm1-5641_inv0,AcousticGrandPiano,fs4,maj,true,maj-5641,mm1-5641,0,60,17,valid
AcousticGrandPiano-g4-mm1-5641_inv0,AcousticGrandPiano,g4,maj,true,maj-5641,mm1-5641,0,60,18,test
AcousticGrandPiano-gs4-mm1-5641_inv0,AcousticGrandPiano,gs4,maj,true,maj-5641,mm1-5641,0,60,18,test
AcousticGrandPiano-a4-mm1-5641_inv0,AcousticGrandPiano,a4,maj,true,maj-5641,mm1-5641,0,60,16,valid
AcousticGrandPiano-as4-mm1-5641_inv0,AcousticGrandPiano,as4,maj,true,maj-5641,mm1-5641,0,60,12,train
AcousticGrandPiano-b4-mm1-5641_inv0,AcousticGrandPiano,b4,maj,true,maj-5641,mm1-5641,0,60,10,train
AcousticGrandPiano-c4-maj-6415_inv0,AcousticGrandPiano,c4,maj,false,maj-6415,maj-6415,0,60,12,train
AcousticGrandPiano-cs4-maj-6415_inv0,AcousticGrandPiano,cs4,maj,false,maj-6415,maj-6415,0,60,11,train
AcousticGrandPiano-d4-maj-6415_inv0,AcousticGrandPiano,d4,maj,false,maj-6415,maj-6415,0,60,6,train
AcousticGrandPiano-ds4-maj-6415_inv0,AcousticGrandPiano,ds4,maj,false,maj-6415,maj-6415,0,60,7,train
AcousticGrandPiano-e4-maj-6415_inv0,AcousticGrandPiano,e4,maj,false,maj-6415,maj-6415,0,60,13,train
AcousticGrandPiano-f4-maj-6415_inv0,AcousticGrandPiano,f4,maj,false,maj-6415,maj-6415,0,60,14,train
AcousticGrandPiano-fs4-maj-6415_inv0,AcousticGrandPiano,fs4,maj,false,maj-6415,maj-6415,0,60,1,train
AcousticGrandPiano-g4-maj-6415_inv0,AcousticGrandPiano,g4,maj,false,maj-6415,maj-6415,0,60,17,valid
AcousticGrandPiano-gs4-maj-6415_inv0,AcousticGrandPiano,gs4,maj,false,maj-6415,maj-6415,0,60,1,train
AcousticGrandPiano-a4-maj-6415_inv0,AcousticGrandPiano,a4,maj,false,maj-6415,maj-6415,0,60,8,train
AcousticGrandPiano-as4-maj-6415_inv0,AcousticGrandPiano,as4,maj,false,maj-6415,maj-6415,0,60,9,train
AcousticGrandPiano-b4-maj-6415_inv0,AcousticGrandPiano,b4,maj,false,maj-6415,maj-6415,0,60,14,train
AcousticGrandPiano-c4-mm1-6415_inv0,AcousticGrandPiano,c4,maj,true,maj-6415,mm1-6415,0,60,8,train
AcousticGrandPiano-cs4-mm1-6415_inv0,AcousticGrandPiano,cs4,maj,true,maj-6415,mm1-6415,0,60,2,train
AcousticGrandPiano-d4-mm1-6415_inv0,AcousticGrandPiano,d4,maj,true,maj-6415,mm1-6415,0,60,19,test
AcousticGrandPiano-ds4-mm1-6415_inv0,AcousticGrandPiano,ds4,maj,true,maj-6415,mm1-6415,0,60,1,train
AcousticGrandPiano-e4-mm1-6415_inv0,AcousticGrandPiano,e4,maj,true,maj-6415,mm1-6415,0,60,20,test
AcousticGrandPiano-f4-mm1-6415_inv0,AcousticGrandPiano,f4,maj,true,maj-6415,mm1-6415,0,60,15,valid
AcousticGrandPiano-fs4-mm1-6415_inv0,AcousticGrandPiano,fs4,maj,true,maj-6415,mm1-6415,0,60,15,valid
AcousticGrandPiano-g4-mm1-6415_inv0,AcousticGrandPiano,g4,maj,true,maj-6415,mm1-6415,0,60,10,train
AcousticGrandPiano-gs4-mm1-6415_inv0,AcousticGrandPiano,gs4,maj,true,maj-6415,mm1-6415,0,60,9,train
AcousticGrandPiano-a4-mm1-6415_inv0,AcousticGrandPiano,a4,maj,true,maj-6415,mm1-6415,0,60,12,train
