chord_progression,midi_program_num,midi_program_name,path,midi_category,key_note_name,sampling_rate,key_note_pitch_class,name,is_major,orig_prog,inv,bpm,fold,set_type
"ionian-(1, 4, 5, 1)",16,Hammond Organ,C_ionian_1-4-5-1_16_Hammond_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-5-1_16_Hammond_Organ,true,maj-1451,0,60,3,train
"ionian-(1, 4, 5, 1)",17,Percussive Organ,C_ionian_1-4-5-1_17_Percussive_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-5-1_17_Percussive_Organ,true,maj-1451,0,60,11,train
"ionian-(1, 4, 5, 1)",18,Rock Organ,C_ionian_1-4-5-1_18_Rock_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-5-1_18_Rock_Organ,true,maj-1451,0,60,5,train
"ionian-(1, 4, 5, 1)",19,Church Organ,C_ionian_1-4-5-1_19_Church_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-5-1_19_Church_Organ,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",20,Reed Organ,C_ionian_1-4-5-1_20_Reed_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-5-1_20_Reed_Organ,true,maj-1451,0,60,19,test
"ionian-(1, 4, 5, 1)",24,Acoustic Nylon Guitar,C_ionian_1-4-5-1_24_Acoustic_Nylon_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_24_Acoustic_Nylon_Guitar,true,maj-1451,0,60,7,train
"ionian-(1, 4, 5, 1)",25,Acoustic Steel Guitar,C_ionian_1-4-5-1_25_Acoustic_Steel_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_25_Acoustic_Steel_Guitar,true,maj-1451,0,60,8,train
"ionian-(1, 4, 5, 1)",26,Electric Jazz Guitar,C_ionian_1-4-5-1_26_Electric_Jazz_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_26_Electric_Jazz_Guitar,true,maj-1451,0,60,8,train
"ionian-(1, 4, 5, 1)",27,Electric Clean Guitar,C_ionian_1-4-5-1_27_Electric_Clean_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_27_Electric_Clean_Guitar,true,maj-1451,0,60,19,test
"ionian-(1, 4, 5, 1)",28,Electric Muted Guitar,C_ionian_1-4-5-1_28_Electric_Muted_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_28_Electric_Muted_Guitar,true,maj-1451,0,60,7,train
"ionian-(1, 4, 5, 1)",29,Overdriven Guitar,C_ionian_1-4-5-1_29_Overdriven_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_29_Overdriven_Guitar,true,maj-1451,0,60,3,train
"ionian-(1, 4, 5, 1)",30,Distortion Guitar,C_ionian_1-4-5-1_30_Distortion_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-5-1_30_Distortion_Guitar,true,maj-1451,0,60,3,train
"ionian-(1, 4, 5, 1)",32,Acoustic Bass,C_ionian_1-4-5-1_32_Acoustic_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_32_Acoustic_Bass,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",33,Fingered Electric Bass,C_ionian_1-4-5-1_33_Fingered_Electric_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_33_Fingered_Electric_Bass,true,maj-1451,0,60,11,train
"ionian-(1, 4, 5, 1)",34,Plucked Electric Bass,C_ionian_1-4-5-1_34_Plucked_Electric_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_34_Plucked_Electric_Bass,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",35,Fretless Bass,C_ionian_1-4-5-1_35_Fretless_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_35_Fretless_Bass,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",36,Slap Bass 1,C_ionian_1-4-5-1_36_Slap_Bass_1.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_36_Slap_Bass_1,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",37,Slap Bass 2,C_ionian_1-4-5-1_37_Slap_Bass_2.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_37_Slap_Bass_2,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",38,Synth Bass 1,C_ionian_1-4-5-1_38_Synth_Bass_1.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_38_Synth_Bass_1,true,maj-1451,0,60,5,train
"ionian-(1, 4, 5, 1)",39,Synth Bass 2,C_ionian_1-4-5-1_39_Synth_Bass_2.wav,Bass Timbres,C,44100,0,C_ionian_1-4-5-1_39_Synth_Bass_2,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",40,Violin,C_ionian_1-4-5-1_40_Violin.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_40_Violin,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",41,Viola,C_ionian_1-4-5-1_41_Viola.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_41_Viola,true,maj-1451,0,60,7,train
"ionian-(1, 4, 5, 1)",42,Cello,C_ionian_1-4-5-1_42_Cello.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_42_Cello,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",43,Contrabass,C_ionian_1-4-5-1_43_Contrabass.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_43_Contrabass,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",44,Tremolo Strings,C_ionian_1-4-5-1_44_Tremolo_Strings.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_44_Tremolo_Strings,true,maj-1451,0,60,3,train
"ionian-(1, 4, 5, 1)",45,Pizzicato Strings,C_ionian_1-4-5-1_45_Pizzicato_Strings.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_45_Pizzicato_Strings,true,maj-1451,0,60,19,test
"ionian-(1, 4, 5, 1)",46,Orchestral Harp,C_ionian_1-4-5-1_46_Orchestral_Harp.wav,String Timbres,C,44100,0,C_ionian_1-4-5-1_46_Orchestral_Harp,true,maj-1451,0,60,4,train
"ionian-(1, 4, 5, 1)",48,String Ensemble 1,C_ionian_1-4-5-1_48_String_Ensemble_1.wav,Ensemble Timbres,C,44100,0,C_ionian_1-4-5-1_48_String_Ensemble_1,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",49,String Ensemble 2,C_ionian_1-4-5-1_49_String_Ensemble_2.wav,Ensemble Timbres,C,44100,0,C_ionian_1-4-5-1_49_String_Ensemble_2,true,maj-1451,0,60,4,train
"ionian-(1, 4, 5, 1)",50,Synth Strings 1,C_ionian_1-4-5-1_50_Synth_Strings_1.wav,Ensemble Timbres,C,44100,0,C_ionian_1-4-5-1_50_Synth_Strings_1,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",51,Synth Strings 2,C_ionian_1-4-5-1_51_Synth_Strings_2.wav,Ensemble Timbres,C,44100,0,C_ionian_1-4-5-1_51_Synth_Strings_2,true,maj-1451,0,60,5,train
"ionian-(1, 4, 5, 1)",52,"Choir ""Aah""","C_ionian_1-4-5-1_52_Choir_""Aah"".wav",Ensemble Timbres,C,44100,0,"C_ionian_1-4-5-1_52_Choir_""Aah""",true,maj-1451,0,60,9,train
"ionian-(1, 4, 5, 1)",53,"Choir ""Ooh""","C_ionian_1-4-5-1_53_Choir_""Ooh"".wav",Ensemble Timbres,C,44100,0,"C_ionian_1-4-5-1_53_Choir_""Ooh""",true,maj-1451,0,60,6,train
"ionian-(1, 4, 5, 1)",54,Synth Voice,C_ionian_1-4-5-1_54_Synth_Voice.wav,Ensemble Timbres,C,44100,0,C_ionian_1-4-5-1_54_Synth_Voice,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",56,Trumpet,C_ionian_1-4-5-1_56_Trumpet.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_56_Trumpet,true,maj-1451,0,60,17,valid
"ionian-(1, 4, 5, 1)",57,Trombone,C_ionian_1-4-5-1_57_Trombone.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_57_Trombone,true,maj-1451,0,60,18,test
"ionian-(1, 4, 5, 1)",58,Tuba,C_ionian_1-4-5-1_58_Tuba.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_58_Tuba,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",59,Muted Trumpet,C_ionian_1-4-5-1_59_Muted_Trumpet.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_59_Muted_Trumpet,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",60,French Horn,C_ionian_1-4-5-1_60_French_Horn.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_60_French_Horn,true,maj-1451,0,60,6,train
"ionian-(1, 4, 5, 1)",61,Brass Section,C_ionian_1-4-5-1_61_Brass_Section.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_61_Brass_Section,true,maj-1451,0,60,12,train
"ionian-(1, 4, 5, 1)",62,Synth Brass 1,C_ionian_1-4-5-1_62_Synth_Brass_1.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_62_Synth_Brass_1,true,maj-1451,0,60,9,train
"ionian-(1, 4, 5, 1)",63,Synth Brass 2,C_ionian_1-4-5-1_63_Synth_Brass_2.wav,Brass Timbres,C,44100,0,C_ionian_1-4-5-1_63_Synth_Brass_2,true,maj-1451,0,60,17,valid
"ionian-(1, 4, 5, 1)",64,Soprano Sax,C_ionian_1-4-5-1_64_Soprano_Sax.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_64_Soprano_Sax,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",65,Alto Sax,C_ionian_1-4-5-1_65_Alto_Sax.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_65_Alto_Sax,true,maj-1451,0,60,16,valid
"ionian-(1, 4, 5, 1)",66,Tenor Sax,C_ionian_1-4-5-1_66_Tenor_Sax.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_66_Tenor_Sax,true,maj-1451,0,60,10,train
"ionian-(1, 4, 5, 1)",67,Baritone Sax,C_ionian_1-4-5-1_67_Baritone_Sax.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_67_Baritone_Sax,true,maj-1451,0,60,6,train
"ionian-(1, 4, 5, 1)",68,Oboe,C_ionian_1-4-5-1_68_Oboe.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_68_Oboe,true,maj-1451,0,60,10,train
"ionian-(1, 4, 5, 1)",69,English Horn,C_ionian_1-4-5-1_69_English_Horn.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_69_English_Horn,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",70,Bassoon,C_ionian_1-4-5-1_70_Bassoon.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_70_Bassoon,true,maj-1451,0,60,9,train
"ionian-(1, 4, 5, 1)",71,Clarinet,C_ionian_1-4-5-1_71_Clarinet.wav,Reed Timbres,C,44100,0,C_ionian_1-4-5-1_71_Clarinet,true,maj-1451,0,60,12,train
"ionian-(1, 4, 5, 1)",72,Piccolo,C_ionian_1-4-5-1_72_Piccolo.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_72_Piccolo,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",73,Flute,C_ionian_1-4-5-1_73_Flute.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_73_Flute,true,maj-1451,0,60,2,train
"ionian-(1, 4, 5, 1)",74,Recorder,C_ionian_1-4-5-1_74_Recorder.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_74_Recorder,true,maj-1451,0,60,18,test
"ionian-(1, 4, 5, 1)",75,Pan Flute,C_ionian_1-4-5-1_75_Pan_Flute.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_75_Pan_Flute,true,maj-1451,0,60,11,train
"ionian-(1, 4, 5, 1)",76,Bottle Blow,C_ionian_1-4-5-1_76_Bottle_Blow.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_76_Bottle_Blow,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",79,Ocarina,C_ionian_1-4-5-1_79_Ocarina.wav,Pipe Timbres,C,44100,0,C_ionian_1-4-5-1_79_Ocarina,true,maj-1451,0,60,15,valid
"ionian-(1, 4, 5, 1)",80,Square Wave Lead,C_ionian_1-4-5-1_80_Square_Wave_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_80_Square_Wave_Lead,true,maj-1451,0,60,13,train
"ionian-(1, 4, 5, 1)",81,Sawtooth Wave Lead,C_ionian_1-4-5-1_81_Sawtooth_Wave_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_81_Sawtooth_Wave_Lead,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",82,Calliope Lead,C_ionian_1-4-5-1_82_Calliope_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_82_Calliope_Lead,true,maj-1451,0,60,8,train
"ionian-(1, 4, 5, 1)",83,Chiff Lead,C_ionian_1-4-5-1_83_Chiff_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_83_Chiff_Lead,true,maj-1451,0,60,17,valid
"ionian-(1, 4, 5, 1)",84,Charang Lead,C_ionian_1-4-5-1_84_Charang_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_84_Charang_Lead,true,maj-1451,0,60,14,train
"ionian-(1, 4, 5, 1)",85,Voice Lead,C_ionian_1-4-5-1_85_Voice_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_85_Voice_Lead,true,maj-1451,0,60,11,train
"ionian-(1, 4, 5, 1)",87,Bass Lead,C_ionian_1-4-5-1_87_Bass_Lead.wav,Synth Lead,C,44100,0,C_ionian_1-4-5-1_87_Bass_Lead,true,maj-1451,0,60,2,train
"ionian-(1, 4, 5, 1)",88,New Age Pad,C_ionian_1-4-5-1_88_New_Age_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_88_New_Age_Pad,true,maj-1451,0,60,5,train
"ionian-(1, 4, 5, 1)",89,Warm Pad,C_ionian_1-4-5-1_89_Warm_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_89_Warm_Pad,true,maj-1451,0,60,12,train
"ionian-(1, 4, 5, 1)",90,Polysynth Pad,C_ionian_1-4-5-1_90_Polysynth_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_90_Polysynth_Pad,true,maj-1451,0,60,12,train
"ionian-(1, 4, 5, 1)",91,Choir Pad,C_ionian_1-4-5-1_91_Choir_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_91_Choir_Pad,true,maj-1451,0,60,8,train
"ionian-(1, 4, 5, 1)",92,Bowed Pad,C_ionian_1-4-5-1_92_Bowed_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_92_Bowed_Pad,true,maj-1451,0,60,9,train
"ionian-(1, 4, 5, 1)",93,Metallic Pad,C_ionian_1-4-5-1_93_Metallic_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_93_Metallic_Pad,true,maj-1451,0,60,2,train
"ionian-(1, 4, 5, 1)",94,Halo Pad,C_ionian_1-4-5-1_94_Halo_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_94_Halo_Pad,true,maj-1451,0,60,3,train
"ionian-(1, 4, 5, 1)",95,Sweep Pad,C_ionian_1-4-5-1_95_Sweep_Pad.wav,Synth Pad,C,44100,0,C_ionian_1-4-5-1_95_Sweep_Pad,true,maj-1451,0,60,8,train
"ionian-(1, 4, 5, 1)",104,Sitar,C_ionian_1-4-5-1_104_Sitar.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_104_Sitar,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",105,Banjo,C_ionian_1-4-5-1_105_Banjo.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_105_Banjo,true,maj-1451,0,60,2,train
"ionian-(1, 4, 5, 1)",106,Shamisen,C_ionian_1-4-5-1_106_Shamisen.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_106_Shamisen,true,maj-1451,0,60,20,test
"ionian-(1, 4, 5, 1)",107,Koto,C_ionian_1-4-5-1_107_Koto.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_107_Koto,true,maj-1451,0,60,7,train
"ionian-(1, 4, 5, 1)",108,Kalimba,C_ionian_1-4-5-1_108_Kalimba.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_108_Kalimba,true,maj-1451,0,60,1,train
"ionian-(1, 4, 5, 1)",109,Bagpipe,C_ionian_1-4-5-1_109_Bagpipe.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_109_Bagpipe,true,maj-1451,0,60,18,test
"ionian-(1, 4, 5, 1)",110,Fiddle,C_ionian_1-4-5-1_110_Fiddle.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_110_Fiddle,true,maj-1451,0,60,18,test
"ionian-(1, 4, 5, 1)",111,Shanai,C_ionian_1-4-5-1_111_Shanai.wav,Ethnic Timbres,C,44100,0,C_ionian_1-4-5-1_111_Shanai,true,maj-1451,0,60,13,train
"ionian-(1, 4, 6, 5)",0,Acoustic Grand Piano,C_ionian_1-4-6-5_0_Acoustic_Grand_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_0_Acoustic_Grand_Piano,true,maj-1465,0,60,8,train
"ionian-(1, 4, 6, 5)",1,Bright Acoustic Piano,C_ionian_1-4-6-5_1_Bright_Acoustic_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_1_Bright_Acoustic_Piano,true,maj-1465,0,60,3,train
"ionian-(1, 4, 6, 5)",2,Electric Grand Piano,C_ionian_1-4-6-5_2_Electric_Grand_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_2_Electric_Grand_Piano,true,maj-1465,0,60,11,train
"ionian-(1, 4, 6, 5)",3,Honky-tonk Piano,C_ionian_1-4-6-5_3_Honky-tonk_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_3_Honky-tonk_Piano,true,maj-1465,0,60,3,train
"ionian-(1, 4, 6, 5)",4,Rhodes Piano,C_ionian_1-4-6-5_4_Rhodes_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_4_Rhodes_Piano,true,maj-1465,0,60,11,train
"ionian-(1, 4, 6, 5)",5,Chorused Piano,C_ionian_1-4-6-5_5_Chorused_Piano.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_5_Chorused_Piano,true,maj-1465,0,60,19,test
"ionian-(1, 4, 6, 5)",6,Harpsichord,C_ionian_1-4-6-5_6_Harpsichord.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_6_Harpsichord,true,maj-1465,0,60,18,test
"ionian-(1, 4, 6, 5)",7,Clavinet,C_ionian_1-4-6-5_7_Clavinet.wav,Piano Timbres,C,44100,0,C_ionian_1-4-6-5_7_Clavinet,true,maj-1465,0,60,16,valid
"ionian-(1, 4, 6, 5)",10,Music Box,C_ionian_1-4-6-5_10_Music_Box.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-6-5_10_Music_Box,true,maj-1465,0,60,18,test
"ionian-(1, 4, 6, 5)",11,Vibraphone,C_ionian_1-4-6-5_11_Vibraphone.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-6-5_11_Vibraphone,true,maj-1465,0,60,13,train
"ionian-(1, 4, 6, 5)",12,Marimba,C_ionian_1-4-6-5_12_Marimba.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-6-5_12_Marimba,true,maj-1465,0,60,14,train
"ionian-(1, 4, 6, 5)",13,Xylophone,C_ionian_1-4-6-5_13_Xylophone.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-6-5_13_Xylophone,true,maj-1465,0,60,5,train
"ionian-(1, 4, 6, 5)",15,Dulcimer,C_ionian_1-4-6-5_15_Dulcimer.wav,Chromatic Percussion,C,44100,0,C_ionian_1-4-6-5_15_Dulcimer,true,maj-1465,0,60,15,valid
"ionian-(1, 4, 6, 5)",16,Hammond Organ,C_ionian_1-4-6-5_16_Hammond_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-6-5_16_Hammond_Organ,true,maj-1465,0,60,7,train
"ionian-(1, 4, 6, 5)",17,Percussive Organ,C_ionian_1-4-6-5_17_Percussive_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-6-5_17_Percussive_Organ,true,maj-1465,0,60,20,test
"ionian-(1, 4, 6, 5)",18,Rock Organ,C_ionian_1-4-6-5_18_Rock_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-6-5_18_Rock_Organ,true,maj-1465,0,60,9,train
"ionian-(1, 4, 6, 5)",19,Church Organ,C_ionian_1-4-6-5_19_Church_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-6-5_19_Church_Organ,true,maj-1465,0,60,16,valid
"ionian-(1, 4, 6, 5)",20,Reed Organ,C_ionian_1-4-6-5_20_Reed_Organ.wav,Organ Timbres,C,44100,0,C_ionian_1-4-6-5_20_Reed_Organ,true,maj-1465,0,60,3,train
"ionian-(1, 4, 6, 5)",24,Acoustic Nylon Guitar,C_ionian_1-4-6-5_24_Acoustic_Nylon_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_24_Acoustic_Nylon_Guitar,true,maj-1465,0,60,18,test
"ionian-(1, 4, 6, 5)",25,Acoustic Steel Guitar,C_ionian_1-4-6-5_25_Acoustic_Steel_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_25_Acoustic_Steel_Guitar,true,maj-1465,0,60,5,train
"ionian-(1, 4, 6, 5)",26,Electric Jazz Guitar,C_ionian_1-4-6-5_26_Electric_Jazz_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_26_Electric_Jazz_Guitar,true,maj-1465,0,60,6,train
"ionian-(1, 4, 6, 5)",27,Electric Clean Guitar,C_ionian_1-4-6-5_27_Electric_Clean_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_27_Electric_Clean_Guitar,true,maj-1465,0,60,8,train
"ionian-(1, 4, 6, 5)",28,Electric Muted Guitar,C_ionian_1-4-6-5_28_Electric_Muted_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_28_Electric_Muted_Guitar,true,maj-1465,0,60,4,train
"ionian-(1, 4, 6, 5)",29,Overdriven Guitar,C_ionian_1-4-6-5_29_Overdriven_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_29_Overdriven_Guitar,true,maj-1465,0,60,12,train
"ionian-(1, 4, 6, 5)",30,Distortion Guitar,C_ionian_1-4-6-5_30_Distortion_Guitar.wav,Guitar Timbres,C,44100,0,C_ionian_1-4-6-5_30_Distortion_Guitar,true,maj-1465,0,60,13,train
"ionian-(1, 4, 6, 5)",32,Acoustic Bass,C_ionian_1-4-6-5_32_Acoustic_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_32_Acoustic_Bass,true,maj-1465,0,60,2,train
"ionian-(1, 4, 6, 5)",33,Fingered Electric Bass,C_ionian_1-4-6-5_33_Fingered_Electric_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_33_Fingered_Electric_Bass,true,maj-1465,0,60,12,train
"ionian-(1, 4, 6, 5)",34,Plucked Electric Bass,C_ionian_1-4-6-5_34_Plucked_Electric_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_34_Plucked_Electric_Bass,true,maj-1465,0,60,8,train
"ionian-(1, 4, 6, 5)",35,Fretless Bass,C_ionian_1-4-6-5_35_Fretless_Bass.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_35_Fretless_Bass,true,maj-1465,0,60,9,train
"ionian-(1, 4, 6, 5)",36,Slap Bass 1,C_ionian_1-4-6-5_36_Slap_Bass_1.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_36_Slap_Bass_1,true,maj-1465,0,60,1,train
"ionian-(1, 4, 6, 5)",37,Slap Bass 2,C_ionian_1-4-6-5_37_Slap_Bass_2.wav,Bass Timbres,C,44100,0,C_ionian_1-4-6-5_37_Slap_Bass_2,true,maj-1465,0,60,11,train
