chord_type,path,sampling_rate,inversion,root_note_pitch_class,root_note_name,midi_program_num,midi_program_name,root_note_is_accidental,midi_category,name,fold,set_type
major,C_major_5_49_String_Ensemble_2.wav,44100,5,0,C,49,String Ensemble 2,0,Ensemble Timbres,C_major_5_49_String_Ensemble_2,17,valid
major,C_major_5_50_Synth_Strings_1.wav,44100,5,0,C,50,Synth Strings 1,0,Ensemble Timbres,C_major_5_50_Synth_Strings_1,5,train
major,C_major_5_51_Synth_Strings_2.wav,44100,5,0,C,51,Synth Strings 2,0,Ensemble Timbres,C_major_5_51_Synth_Strings_2,3,train
major,"C_major_5_52_Choir_""Aah"".wav",44100,5,0,C,52,"Choir ""Aah""",0,Ensemble Timbres,"C_major_5_52_Choir_""Aah""",9,train
major,"C_major_5_53_Choir_""Ooh"".wav",44100,5,0,C,53,"Choir ""Ooh""",0,Ensemble Timbres,"C_major_5_53_Choir_""Ooh""",9,train
major,C_major_5_54_Synth_Voice.wav,44100,5,0,C,54,Synth Voice,0,Ensemble Timbres,C_major_5_54_Synth_Voice,5,train
major,C_major_5_56_Trumpet.wav,44100,5,0,C,56,Trumpet,0,Brass Timbres,C_major_5_56_Trumpet,18,test
major,C_major_5_57_Trombone.wav,44100,5,0,C,57,Trombone,0,Brass Timbres,C_major_5_57_Trombone,7,train
major,C_major_5_58_Tuba.wav,44100,5,0,C,58,Tuba,0,Brass Timbres,C_major_5_58_Tuba,5,train
major,C_major_5_59_Muted_Trumpet.wav,44100,5,0,C,59,Muted Trumpet,0,Brass Timbres,C_major_5_59_Muted_Trumpet,15,valid
major,C_major_5_60_French_Horn.wav,44100,5,0,C,60,French Horn,0,Brass Timbres,C_major_5_60_French_Horn,6,train
major,C_major_5_61_Brass_Section.wav,44100,5,0,C,61,Brass Section,0,Brass Timbres,C_major_5_61_Brass_Section,15,valid
major,C_major_5_62_Synth_Brass_1.wav,44100,5,0,C,62,Synth Brass 1,0,Brass Timbres,C_major_5_62_Synth_Brass_1,18,test
major,C_major_5_63_Synth_Brass_2.wav,44100,5,0,C,63,Synth Brass 2,0,Brass Timbres,C_major_5_63_Synth_Brass_2,18,test
major,C_major_5_64_Soprano_Sax.wav,44100,5,0,C,64,Soprano Sax,0,Reed Timbres,C_major_5_64_Soprano_Sax,20,test
major,C_major_5_65_Alto_Sax.wav,44100,5,0,C,65,Alto Sax,0,Reed Timbres,C_major_5_65_Alto_Sax,10,train
major,C_major_5_66_Tenor_Sax.wav,44100,5,0,C,66,Tenor Sax,0,Reed Timbres,C_major_5_66_Tenor_Sax,12,train
major,C_major_5_67_Baritone_Sax.wav,44100,5,0,C,67,Baritone Sax,0,Reed Timbres,C_major_5_67_Baritone_Sax,3,train
major,C_major_5_68_Oboe.wav,44100,5,0,C,68,Oboe,0,Reed Timbres,C_major_5_68_Oboe,12,train
major,C_major_5_69_English_Horn.wav,44100,5,0,C,69,English Horn,0,Reed Timbres,C_major_5_69_English_Horn,5,train
major,C_major_5_70_Bassoon.wav,44100,5,0,C,70,Bassoon,0,Reed Timbres,C_major_5_70_Bassoon,8,train
major,C_major_5_71_Clarinet.wav,44100,5,0,C,71,Clarinet,0,Reed Timbres,C_major_5_71_Clarinet,7,train
major,C_major_5_72_Piccolo.wav,44100,5,0,C,72,Piccolo,0,Pipe Timbres,C_major_5_72_Piccolo,4,train
major,C_major_5_73_Flute.wav,44100,5,0,C,73,Flute,0,Pipe Timbres,C_major_5_73_Flute,19,test
major,C_major_5_74_Recorder.wav,44100,5,0,C,74,Recorder,0,Pipe Timbres,C_major_5_74_Recorder,12,train
major,C_major_5_75_Pan_Flute.wav,44100,5,0,C,75,Pan Flute,0,Pipe Timbres,C_major_5_75_Pan_Flute,8,train
major,C_major_5_76_Bottle_Blow.wav,44100,5,0,C,76,Bottle Blow,0,Pipe Timbres,C_major_5_76_Bottle_Blow,5,train
major,C_major_5_79_Ocarina.wav,44100,5,0,C,79,Ocarina,0,Pipe Timbres,C_major_5_79_Ocarina,7,train
major,C_major_5_80_Square_Wave_Lead.wav,44100,5,0,C,80,Square Wave Lead,0,Synth Lead,C_major_5_80_Square_Wave_Lead,1,train
major,C_major_5_81_Sawtooth_Wave_Lead.wav,44100,5,0,C,81,Sawtooth Wave Lead,0,Synth Lead,C_major_5_81_Sawtooth_Wave_Lead,3,train
major,C_major_5_82_Calliope_Lead.wav,44100,5,0,C,82,Calliope Lead,0,Synth Lead,C_major_5_82_Calliope_Lead,19,test
major,C_major_5_83_Chiff_Lead.wav,44100,5,0,C,83,Chiff Lead,0,Synth Lead,C_major_5_83_Chiff_Lead,20,test
major,C_major_5_84_Charang_Lead.wav,44100,5,0,C,84,Charang Lead,0,Synth Lead,C_major_5_84_Charang_Lead,12,train
major,C_major_5_85_Voice_Lead.wav,44100,5,0,C,85,Voice Lead,0,Synth Lead,C_major_5_85_Voice_Lead,17,valid
major,C_major_5_87_Bass_Lead.wav,44100,5,0,C,87,Bass Lead,0,Synth Lead,C_major_5_87_Bass_Lead,18,test
major,C_major_5_88_New_Age_Pad.wav,44100,5,0,C,88,New Age Pad,0,Synth Pad,C_major_5_88_New_Age_Pad,14,train
major,C_major_5_89_Warm_Pad.wav,44100,5,0,C,89,Warm Pad,0,Synth Pad,C_major_5_89_Warm_Pad,9,train
major,C_major_5_90_Polysynth_Pad.wav,44100,5,0,C,90,Polysynth Pad,0,Synth Pad,C_major_5_90_Polysynth_Pad,10,train
major,C_major_5_91_Choir_Pad.wav,44100,5,0,C,91,Choir Pad,0,Synth Pad,C_major_5_91_Choir_Pad,7,train
major,C_major_5_92_Bowed_Pad.wav,44100,5,0,C,92,Bowed Pad,0,Synth Pad,C_major_5_92_Bowed_Pad,14,train
major,C_major_5_93_Metallic_Pad.wav,44100,5,0,C,93,Metallic Pad,0,Synth Pad,C_major_5_93_Metallic_Pad,8,train
major,C_major_5_94_Halo_Pad.wav,44100,5,0,C,94,Halo Pad,0,Synth Pad,C_major_5_94_Halo_Pad,2,train
major,C_major_5_95_Sweep_Pad.wav,44100,5,0,C,95,Sweep Pad,0,Synth Pad,C_major_5_95_Sweep_Pad,13,train
major,C_major_5_104_Sitar.wav,44100,5,0,C,104,Sitar,0,Ethnic Timbres,C_major_5_104_Sitar,15,valid
major,C_major_5_105_Banjo.wav,44100,5,0,C,105,Banjo,0,Ethnic Timbres,C_major_5_105_Banjo,17,valid
major,C_major_5_106_Shamisen.wav,44100,5,0,C,106,Shamisen,0,Ethnic Timbres,C_major_5_106_Shamisen,20,test
major,C_major_5_107_Koto.wav,44100,5,0,C,107,Koto,0,Ethnic Timbres,C_major_5_107_Koto,6,train
major,C_major_5_108_Kalimba.wav,44100,5,0,C,108,Kalimba,0,Ethnic Timbres,C_major_5_108_Kalimba,6,train
major,C_major_5_109_Bagpipe.wav,44100,5,0,C,109,Bagpipe,0,Ethnic Timbres,C_major_5_109_Bagpipe,17,valid
major,C_major_5_110_Fiddle.wav,44100,5,0,C,110,Fiddle,0,Ethnic Timbres,C_major_5_110_Fiddle,18,test
major,C_major_5_111_Shanai.wav,44100,5,0,C,111,Shanai,0,Ethnic Timbres,C_major_5_111_Shanai,18,test
major,C_major_6_0_Acoustic_Grand_Piano.wav,44100,6,0,C,0,Acoustic Grand Piano,0,Piano Timbres,C_major_6_0_Acoustic_Grand_Piano,16,valid
major,C_major_6_1_Bright_Acoustic_Piano.wav,44100,6,0,C,1,Bright Acoustic Piano,0,Piano Timbres,C_major_6_1_Bright_Acoustic_Piano,16,valid
major,C_major_6_2_Electric_Grand_Piano.wav,44100,6,0,C,2,Electric Grand Piano,0,Piano Timbres,C_major_6_2_Electric_Grand_Piano,15,valid
major,C_major_6_3_Honky-tonk_Piano.wav,44100,6,0,C,3,Honky-tonk Piano,0,Piano Timbres,C_major_6_3_Honky-tonk_Piano,12,train
major,C_major_6_4_Rhodes_Piano.wav,44100,6,0,C,4,Rhodes Piano,0,Piano Timbres,C_major_6_4_Rhodes_Piano,12,train
major,C_major_6_5_Chorused_Piano.wav,44100,6,0,C,5,Chorused Piano,0,Piano Timbres,C_major_6_5_Chorused_Piano,14,train
major,C_major_6_6_Harpsichord.wav,44100,6,0,C,6,Harpsichord,0,Piano Timbres,C_major_6_6_Harpsichord,20,test
major,C_major_6_7_Clavinet.wav,44100,6,0,C,7,Clavinet,0,Piano Timbres,C_major_6_7_Clavinet,20,test
major,C_major_6_10_Music_Box.wav,44100,6,0,C,10,Music Box,0,Chromatic Percussion,C_major_6_10_Music_Box,9,train
major,C_major_6_11_Vibraphone.wav,44100,6,0,C,11,Vibraphone,0,Chromatic Percussion,C_major_6_11_Vibraphone,20,test
major,C_major_6_12_Marimba.wav,44100,6,0,C,12,Marimba,0,Chromatic Percussion,C_major_6_12_Marimba,2,train
major,C_major_6_13_Xylophone.wav,44100,6,0,C,13,Xylophone,0,Chromatic Percussion,C_major_6_13_Xylophone,2,train
major,C_major_6_15_Dulcimer.wav,44100,6,0,C,15,Dulcimer,0,Chromatic Percussion,C_major_6_15_Dulcimer,11,train
major,C_major_6_16_Hammond_Organ.wav,44100,6,0,C,16,Hammond Organ,0,Organ Timbres,C_major_6_16_Hammond_Organ,15,valid
major,C_major_6_17_Percussive_Organ.wav,44100,6,0,C,17,Percussive Organ,0,Organ Timbres,C_major_6_17_Percussive_Organ,8,train
major,C_major_6_18_Rock_Organ.wav,44100,6,0,C,18,Rock Organ,0,Organ Timbres,C_major_6_18_Rock_Organ,12,train
major,C_major_6_19_Church_Organ.wav,44100,6,0,C,19,Church Organ,0,Organ Timbres,C_major_6_19_Church_Organ,17,valid
major,C_major_6_20_Reed_Organ.wav,44100,6,0,C,20,Reed Organ,0,Organ Timbres,C_major_6_20_Reed_Organ,19,test
major,C_major_6_24_Acoustic_Nylon_Guitar.wav,44100,6,0,C,24,Acoustic Nylon Guitar,0,Guitar Timbres,C_major_6_24_Acoustic_Nylon_Guitar,15,valid
major,C_major_6_25_Acoustic_Steel_Guitar.wav,44100,6,0,C,25,Acoustic Steel Guitar,0,Guitar Timbres,C_major_6_25_Acoustic_Steel_Guitar,5,train
major,C_major_6_26_Electric_Jazz_Guitar.wav,44100,6,0,C,26,Electric Jazz Guitar,0,Guitar Timbres,C_major_6_26_Electric_Jazz_Guitar,3,train
major,C_major_6_27_Electric_Clean_Guitar.wav,44100,6,0,C,27,Electric Clean Guitar,0,Guitar Timbres,C_major_6_27_Electric_Clean_Guitar,6,train
major,C_major_6_28_Electric_Muted_Guitar.wav,44100,6,0,C,28,Electric Muted Guitar,0,Guitar Timbres,C_major_6_28_Electric_Muted_Guitar,13,train
major,C_major_6_29_Overdriven_Guitar.wav,44100,6,0,C,29,Overdriven Guitar,0,Guitar Timbres,C_major_6_29_Overdriven_Guitar,7,train
major,C_major_6_30_Distortion_Guitar.wav,44100,6,0,C,30,Distortion Guitar,0,Guitar Timbres,C_major_6_30_Distortion_Guitar,8,train
major,C_major_6_32_Acoustic_Bass.wav,44100,6,0,C,32,Acoustic Bass,0,Bass Timbres,C_major_6_32_Acoustic_Bass,10,train
major,C_major_6_33_Fingered_Electric_Bass.wav,44100,6,0,C,33,Fingered Electric Bass,0,Bass Timbres,C_major_6_33_Fingered_Electric_Bass,2,train
major,C_major_6_34_Plucked_Electric_Bass.wav,44100,6,0,C,34,Plucked Electric Bass,0,Bass Timbres,C_major_6_34_Plucked_Electric_Bass,14,train
major,C_major_6_35_Fretless_Bass.wav,44100,6,0,C,35,Fretless Bass,0,Bass Timbres,C_major_6_35_Fretless_Bass,10,train
major,C_major_6_36_Slap_Bass_1.wav,44100,6,0,C,36,Slap Bass 1,0,Bass Timbres,C_major_6_36_Slap_Bass_1,5,train
major,C_major_6_37_Slap_Bass_2.wav,44100,6,0,C,37,Slap Bass 2,0,Bass Timbres,C_major_6_37_Slap_Bass_2,11,train
major,C_major_6_38_Synth_Bass_1.wav,44100,6,0,C,38,Synth Bass 1,0,Bass Timbres,C_major_6_38_Synth_Bass_1,3,train
major,C_major_6_39_Synth_Bass_2.wav,44100,6,0,C,39,Synth Bass 2,0,Bass Timbres,C_major_6_39_Synth_Bass_2,20,test
major,C_major_6_40_Violin.wav,44100,6,0,C,40,Violin,0,String Timbres,C_major_6_40_Violin,1,train
major,C_major_6_41_Viola.wav,44100,6,0,C,41,Viola,0,String Timbres,C_major_6_41_Viola,5,train
major,C_major_6_42_Cello.wav,44100,6,0,C,42,Cello,0,String Timbres,C_major_6_42_Cello,1,train
major,C_major_6_43_Contrabass.wav,44100,6,0,C,43,Contrabass,0,String Timbres,C_major_6_43_Contrabass,13,train
major,C_major_6_44_Tremolo_Strings.wav,44100,6,0,C,44,Tremolo Strings,0,String Timbres,C_major_6_44_Tremolo_Strings,2,train
major,C_major_6_45_Pizzicato_Strings.wav,44100,6,0,C,45,Pizzicato Strings,0,String Timbres,C_major_6_45_Pizzicato_Strings,10,train
major,C_major_6_46_Orchestral_Harp.wav,44100,6,0,C,46,Orchestral Harp,0,String Timbres,C_major_6_46_Orchestral_Harp,20,test
major,C_major_6_48_String_Ensemble_1.wav,44100,6,0,C,48,String Ensemble 1,0,Ensemble Timbres,C_major_6_48_String_Ensemble_1,2,train
major,C_major_6_49_String_Ensemble_2.wav,44100,6,0,C,49,String Ensemble 2,0,Ensemble Timbres,C_major_6_49_String_Ensemble_2,15,valid
major,C_major_6_50_Synth_Strings_1.wav,44100,6,0,C,50,Synth Strings 1,0,Ensemble Timbres,C_major_6_50_Synth_Strings_1,6,train
major,C_major_6_51_Synth_Strings_2.wav,44100,6,0,C,51,Synth Strings 2,0,Ensemble Timbres,C_major_6_51_Synth_Strings_2,8,train
major,"C_major_6_52_Choir_""Aah"".wav",44100,6,0,C,52,"Choir ""Aah""",0,Ensemble Timbres,"C_major_6_52_Choir_""Aah""",4,train
major,"C_major_6_53_Choir_""Ooh"".wav",44100,6,0,C,53,"Choir ""Ooh""",0,Ensemble Timbres,"C_major_6_53_Choir_""Ooh""",5,train
major,C_major_6_54_Synth_Voice.wav,44100,6,0,C,54,Synth Voice,0,Ensemble Timbres,C_major_6_54_Synth_Voice,4,train
major,C_major_6_56_Trumpet.wav,44100,6,0,C,56,Trumpet,0,Brass Timbres,C_major_6_56_Trumpet,6,train
major,C_major_6_57_Trombone.wav,44100,6,0,C,57,Trombone,0,Brass Timbres,C_major_6_57_Trombone,10,train
major,C_major_6_58_Tuba.wav,44100,6,0,C,58,Tuba,0,Brass Timbres,C_major_6_58_Tuba,14,train
major,C_major_6_59_Muted_Trumpet.wav,44100,6,0,C,59,Muted Trumpet,0,Brass Timbres,C_major_6_59_Muted_Trumpet,4,train
major,C_major_6_60_French_Horn.wav,44100,6,0,C,60,French Horn,0,Brass Timbres,C_major_6_60_French_Horn,5,train
major,C_major_6_61_Brass_Section.wav,44100,6,0,C,61,Brass Section,0,Brass Timbres,C_major_6_61_Brass_Section,4,train
major,C_major_6_62_Synth_Brass_1.wav,44100,6,0,C,62,Synth Brass 1,0,Brass Timbres,C_major_6_62_Synth_Brass_1,10,train
major,C_major_6_63_Synth_Brass_2.wav,44100,6,0,C,63,Synth Brass 2,0,Brass Timbres,C_major_6_63_Synth_Brass_2,20,test
major,C_major_6_64_Soprano_Sax.wav,44100,6,0,C,64,Soprano Sax,0,Reed Timbres,C_major_6_64_Soprano_Sax,2,train
major,C_major_6_65_Alto_Sax.wav,44100,6,0,C,65,Alto Sax,0,Reed Timbres,C_major_6_65_Alto_Sax,17,valid
major,C_major_6_66_Tenor_Sax.wav,44100,6,0,C,66,Tenor Sax,0,Reed Timbres,C_major_6_66_Tenor_Sax,20,test
major,C_major_6_67_Baritone_Sax.wav,44100,6,0,C,67,Baritone Sax,0,Reed Timbres,C_major_6_67_Baritone_Sax,16,valid
major,C_major_6_68_Oboe.wav,44100,6,0,C,68,Oboe,0,Reed Timbres,C_major_6_68_Oboe,10,train
major,C_major_6_69_English_Horn.wav,44100,6,0,C,69,English Horn,0,Reed Timbres,C_major_6_69_English_Horn,12,train
major,C_major_6_70_Bassoon.wav,44100,6,0,C,70,Bassoon,0,Reed Timbres,C_major_6_70_Bassoon,17,valid
major,C_major_6_71_Clarinet.wav,44100,6,0,C,71,Clarinet,0,Reed Timbres,C_major_6_71_Clarinet,14,train
major,C_major_6_72_Piccolo.wav,44100,6,0,C,72,Piccolo,0,Pipe Timbres,C_major_6_72_Piccolo,13,train
major,C_major_6_73_Flute.wav,44100,6,0,C,73,Flute,0,Pipe Timbres,C_major_6_73_Flute,18,test
major,C_major_6_74_Recorder.wav,44100,6,0,C,74,Recorder,0,Pipe Timbres,C_major_6_74_Recorder,18,test
major,C_major_6_75_Pan_Flute.wav,44100,6,0,C,75,Pan Flute,0,Pipe Timbres,C_major_6_75_Pan_Flute,9,train
major,C_major_6_76_Bottle_Blow.wav,44100,6,0,C,76,Bottle Blow,0,Pipe Timbres,C_major_6_76_Bottle_Blow,14,train
major,C_major_6_79_Ocarina.wav,44100,6,0,C,79,Ocarina,0,Pipe Timbres,C_major_6_79_Ocarina,8,train
major,C_major_6_80_Square_Wave_Lead.wav,44100,6,0,C,80,Square Wave Lead,0,Synth Lead,C_major_6_80_Square_Wave_Lead,5,train
major,C_major_6_81_Sawtooth_Wave_Lead.wav,44100,6,0,C,81,Sawtooth Wave Lead,0,Synth Lead,C_major_6_81_Sawtooth_Wave_Lead,1,train
major,C_major_6_82_Calliope_Lead.wav,44100,6,0,C,82,Calliope Lead,0,Synth Lead,C_major_6_82_Calliope_Lead,11,train
major,C_major_6_83_Chiff_Lead.wav,44100,6,0,C,83,Chiff Lead,0,Synth Lead,C_major_6_83_Chiff_Lead,9,train
major,C_major_6_84_Charang_Lead.wav,44100,6,0,C,84,Charang Lead,0,Synth Lead,C_major_6_84_Charang_Lead,13,train
major,C_major_6_85_Voice_Lead.wav,44100,6,0,C,85,Voice Lead,0,Synth Lead,C_major_6_85_Voice_Lead,4,train
major,C_major_6_87_Bass_Lead.wav,44100,6,0,C,87,Bass Lead,0,Synth Lead,C_major_6_87_Bass_Lead,5,train
major,C_major_6_88_New_Age_Pad.wav,44100,6,0,C,88,New Age Pad,0,Synth Pad,C_major_6_88_New_Age_Pad,10,train
major,C_major_6_89_Warm_Pad.wav,44100,6,0,C,89,Warm Pad,0,Synth Pad,C_major_6_89_Warm_Pad,4,train
major,C_major_6_90_Polysynth_Pad.wav,44100,6,0,C,90,Polysynth Pad,0,Synth Pad,C_major_6_90_Polysynth_Pad,17,valid
major,C_major_6_91_Choir_Pad.wav,44100,6,0,C,91,Choir Pad,0,Synth Pad,C_major_6_91_Choir_Pad,4,train
major,C_major_6_92_Bowed_Pad.wav,44100,6,0,C,92,Bowed Pad,0,Synth Pad,C_major_6_92_Bowed_Pad,6,train
major,C_major_6_93_Metallic_Pad.wav,44100,6,0,C,93,Metallic Pad,0,Synth Pad,C_major_6_93_Metallic_Pad,17,valid
major,C_major_6_94_Halo_Pad.wav,44100,6,0,C,94,Halo Pad,0,Synth Pad,C_major_6_94_Halo_Pad,16,valid
major,C_major_6_95_Sweep_Pad.wav,44100,6,0,C,95,Sweep Pad,0,Synth Pad,C_major_6_95_Sweep_Pad,14,train
major,C_major_6_104_Sitar.wav,44100,6,0,C,104,Sitar,0,Ethnic Timbres,C_major_6_104_Sitar,12,train
major,C_major_6_105_Banjo.wav,44100,6,0,C,105,Banjo,0,Ethnic Timbres,C_major_6_105_Banjo,11,train
major,C_major_6_106_Shamisen.wav,44100,6,0,C,106,Shamisen,0,Ethnic Timbres,C_major_6_106_Shamisen,2,train
major,C_major_6_107_Koto.wav,44100,6,0,C,107,Koto,0,Ethnic Timbres,C_major_6_107_Koto,2,train
major,C_major_6_108_Kalimba.wav,44100,6,0,C,108,Kalimba,0,Ethnic Timbres,C_major_6_108_Kalimba,11,train
major,C_major_6_109_Bagpipe.wav,44100,6,0,C,109,Bagpipe,0,Ethnic Timbres,C_major_6_109_Bagpipe,3,train
major,C_major_6_110_Fiddle.wav,44100,6,0,C,110,Fiddle,0,Ethnic Timbres,C_major_6_110_Fiddle,19,test
major,C_major_6_111_Shanai.wav,44100,6,0,C,111,Shanai,0,Ethnic Timbres,C_major_6_111_Shanai,1,train
major,C_major_64_0_Acoustic_Grand_Piano.wav,44100,64,0,C,0,Acoustic Grand Piano,0,Piano Timbres,C_major_64_0_Acoustic_Grand_Piano,2,train
major,C_major_64_1_Bright_Acoustic_Piano.wav,44100,64,0,C,1,Bright Acoustic Piano,0,Piano Timbres,C_major_64_1_Bright_Acoustic_Piano,7,train
major,C_major_64_2_Electric_Grand_Piano.wav,44100,64,0,C,2,Electric Grand Piano,0,Piano Timbres,C_major_64_2_Electric_Grand_Piano,9,train
major,C_major_64_3_Honky-tonk_Piano.wav,44100,64,0,C,3,Honky-tonk Piano,0,Piano Timbres,C_major_64_3_Honky-tonk_Piano,4,train
major,C_major_64_4_Rhodes_Piano.wav,44100,64,0,C,4,Rhodes Piano,0,Piano Timbres,C_major_64_4_Rhodes_Piano,17,valid
major,C_major_64_5_Chorused_Piano.wav,44100,64,0,C,5,Chorused Piano,0,Piano Timbres,C_major_64_5_Chorused_Piano,19,test
major,C_major_64_6_Harpsichord.wav,44100,64,0,C,6,Harpsichord,0,Piano Timbres,C_major_64_6_Harpsichord,4,train
major,C_major_64_7_Clavinet.wav,44100,64,0,C,7,Clavinet,0,Piano Timbres,C_major_64_7_Clavinet,12,train
major,C_major_64_10_Music_Box.wav,44100,64,0,C,10,Music Box,0,Chromatic Percussion,C_major_64_10_Music_Box,10,train
